澳门一季度零售业销售额同比下跌45.1%|2020年05月25日 23:24|原标题：澳门一季度零售业销售额同比下跌45.1% 新华社澳门5月25日电（记者王晨曦）澳门特区政府统计暨普查局25日表示，受新冠肺炎疫情影响，澳门2020年第一季度零售业销售额112.4亿澳门元，同比下跌45.1%，销量指数跌幅为44.8%。 统计暨普查局的数据显示，与2019年同期的销售额相比，钟表珠宝、百货、成人服装和皮具分别下跌57.5%、56.4%、52.9%和51.0%，超市则上升14.0%。销量指数方面，钟表珠宝、百货、成人服装和皮具分别下跌60.7%、54.3%、48.2%和47.3%，超市上升11.9%。 与2019年第四季度修订后的零售业销售额相比，2020年第一季度销售额减少45.8%，其中钟表珠宝、百货、化妆品及卫生用品分别下跌57.5%、54.5%和54.0%，超市上升10.2%。销量指数按季减少45.5%，钟表珠宝、化妆品及卫生用品、百货分别下跌59.0%、53.7%和53.5%，超市则上升8.4%。 此外，有80.5%的商户预计第二季度货物销量将比去年同季度减少，13.3%认为销售量同比持平，预期增加的仅占6.2%。销售价格方面，有68.1%的商户预测第二季度销售价格将维持在去年同期水平，认为价格下跌的占27.0%，而预计上升的有4.9%。 与第一季度相比，有52.9%的商户预计第二季度经营情况趋弱，而认为经营情况保持稳定和好转的各占23.9%和23.2%。 责任编辑：张申 
5名中国公民在加纳确诊新冠肺炎 其中3人已治愈|2020年05月25日 10:12|原标题：5名中国公民在加纳确诊新冠肺炎 其中3人已治愈 中新网5月25日电 据中国驻加纳大使馆网站消息，截至5月24日，累计有5名在加中国同胞确诊新冠肺炎，其中4人无明显症状，1人曾有发热症状。具体情况如下： 5名同胞中，3人已康复并解除隔离；1人5月21日病毒检测结果为阳性，已单独隔离，将于近日按要求再次接受检测；1人5月18日出现发热症状，24日检测结果呈阳性，已在家隔离，目前体温已恢复正常，将于近日按要求再次接受检测。使馆将密切跟踪并及时通报有关检测结果。 使馆提醒广大在加同胞提高安全防范意识，避免不必要的外出和社交活动，出门必须佩戴口罩；同时保持良好心态，避免过度恐慌，注重体育锻炼，增强自身免疫力。 如发现疑似病情或相关感染症状，应及时就医并报告使馆，使馆将向确诊同胞提供药品和必要协助。 责任编辑：杨杰 
新冠疫苗三期临床试验为何要去国外做？|2020年05月25日 10:03|原标题：新冠疫苗三期临床试验为何要去国外做？ （健康时报记者 王月明）复旦大学附属华山医院感染科主任张文宏在接受人民日报采访时曾表示，目前国内疫情控制得非常好，反而使得我们失去了在国内进行三期临床研究的机会，新冠疫苗如果要做临床研究，要到国外疫情比较高发的地方去做。 对新冠疫苗进行临床试验，所需要的受试者应该是健康人群，为什么临床试验要到国外做？ “三期临床试验目的是要验证疫苗有效性，必须要让接种过疫苗的人有机会暴露在病毒之下，才能确定疫苗是否有效。即便能检测到身体内产生了抗体，也不能代表疫苗是有效的，必须要经受住病毒的‘考验’。”美国宾夕法尼亚大学医学院副教授张洪涛向健康时报记者表示。 比如在病毒流行地区，选取生活在同一个区域的志愿者，一组接种疫苗，另外一组不接种疫苗，面对同样的被感染风险，接种疫苗的志愿者被感染数显著低于未接种疫苗的志愿者，疫苗才可能是有效的。如果没有病毒流行的条件，则无法证明疫苗的有效性。 张洪涛认为，目前中国国内感染者较少，同时比较分散，积累到一定的样本量较为困难。即便是招募海关人员或医务人员进行接种，相对比例还是比较少，需要较长时间达到足够的数量去评估效果。 一般三期临床试验得到最终结果才是疫苗批准上市的科学依据。疫苗临床试验是科学问题，在目前的情况下，为了尽快验证疫苗效果，到国外进行临床试验是必然的选择。 据悉，中国军事医学科学院院士陈薇团队研发的新冠疫苗，目前已经在加拿大卫生部获批开展临床试验。此前，陈薇院士团队研发的重组埃博拉疫苗（rAd5-EBOV），在非洲塞拉利昂开展的Ⅱ期500例临床试验取得成功，该疫苗为首个在中国境外进行临床试验的中国疫苗。  责任编辑：朱学森 
最新！成都新增境外输入1+1，活动轨迹公布！|2020年05月25日 09:55|原标题：最新！成都新增境外输入1+1，活动轨迹公布！ 5月24日，我市新增1例境外输入确诊病例，新增1例境外输入无症状感染者。 截至5月24日24时，我市累计报告确诊病例169例，累计出院163人，死亡3人，其余3例境外输入确诊病例正在定点医院隔离治疗。 全市现有1例境外输入无症状感染者，正在集中隔离点接受医学观察。 新增确诊病例及无症状感染者的同机人员已全部集中隔离观察，并接受新冠病毒核酸检测，结果均为阴性。 目前，全市共有65名密切接触者正在接受集中隔离医学观察。 病例：女，38岁，广东广州人，2月中旬前往埃及。 5月22日乘坐3U83923次航班自埃及开罗出发，5月23日抵蓉。 入境时体温正常，患者诉咽部不适，转送定点医院采样检测。5月24日因新冠病毒核酸检测阳性，胸部CT检查结果异常，诊断为确诊病例，现已至定点医院隔离治疗。 该病例乘专车由机场直接送往定点医疗机构，无成都市内停留场所。  来源：健康四川官微、健康成都官微 责任编辑：朱学森 
河北为民办幼儿园“减支增收”助力渡过疫情难关|2020年05月25日 09:54|原标题：河北为民办幼儿园“减支增收”助力渡过疫情难关 新华社石家庄5月25日电（记者齐雷杰）针对新冠肺炎疫情带来的实际困难和问题，河北省将落实房租减免、社会保险减免、税收减免等各项政策，落实普惠性民办幼儿园生均公用经费，为民办幼儿园“减支增收”，促进其持续健康发展。 河北省教育厅、财政厅近日下发通知，要求各地参照《河北省关于打好新型冠状病毒感染的肺炎疫情防控阻击战促进经济社会平稳健康发展的若干措施》要求，减轻民办幼儿园房屋租金负担。鼓励有关单位对承租国有资产类经营用房的民办幼儿园免收1个月房租，减半收取2个月房租，鼓励其他业主适度减免疫情期间租金。 全省各地教育行政部门将协调人社、医保、税务等部门，帮助为教职工参保且疫情期间不裁员、少裁员的民办幼儿园，落实返还、降低失业保险费率、工伤保险费率等有关政策，保持教职工队伍稳定。落实国家和河北省减税降费各项政策，帮助受疫情影响办理纳税申报困难的民办幼儿园申请依法办理延期申报。对确有特殊困难而不能按期缴纳税款的民办园申请延期缴纳税款，最长不超过3个月。 对经市、县两级认定的普惠性民办幼儿园，河北各地将按照《河北省支持学前教育发展资金管理办法》规定，拨付生均公用经费。鼓励具备条件且有意愿的民办非普惠性幼儿园转为普惠性民办幼儿园。 责任编辑：杨杰 
海外网评：“后疫情时代”的中日韩合作值得期待|2020年05月25日 09:24|原标题：海外网评：“后疫情时代”的中日韩合作值得期待 5月24日，国务委员兼外长王毅在两会记者会上称赞中日韩三国联合抗疫，“为全球抗疫树立了样板，也为国际社会增添了信心”。王毅对中日韩携手抗疫的积极评价，也寄托着对“后疫情时代”中日韩合作的期待。受新冠肺炎疫情影响，今年中日韩之间的一些政治外交互动不得已被取消或延期，但经历了携手抗疫之后，中日韩关系得到了进一步巩固，三国关系的未来发展更加值得期待。 自2017年中日关系转圜至今，两国政府的政治互信不断增强。中日经济高层对话、中日战略对话会、中日防长会谈相继重启，中日第三方市场合作论坛和中日高级别人文交流磋商机制会议首次举行……从原有对话机制的恢复到新合作机制的建立，意味着在总体稳定背景下，中日关系朝着更加纵深层面发展。与此同时，在过去两年多时间里，中韩关系在两国元首的共同引领下，保持了稳定发展的大方向。 不过，与政府层面互动升温的程度相比，中日民间友好“赤字”的缩小显得更加缓慢。比如，根据日本言论NPO在2019年发布的民调显示：对日本持“友好”印象的中国受访者比例为45.9%，而对中国持“友好”印象的日本受访者比例仅为15.0%。与此同时，受历史领土等问题影响，日韩关系从去年开始走低，从外交上的舆论战到原材料出口的相互制裁，使得日韩两国一度出现“断交”风险。中日民间友好的“赤字”难题、日韩之间的龃龉，长期使中日韩合作受到掣肘，难以深入。 而此次携手抗疫，为破解中日韩合作的难题提供了一个契机。去年底，疫情在中国暴发后，日韩两国政党高官多次表态支持中国采取更多措施应对疫情；在东京、大阪等城市，出现了“中国加油”“武汉加油”的标语，而韩国驻华大使馆则贴出了“中国的困难就是我们的困难”的横幅；日本和韩国社会各界积极向中国捐赠口罩、防护服等医疗物资……在中国抗击疫情的困难时刻，获得来自日韩两国的积极援助，温暖了中国民众的心。 此后，当日本和韩国的疫情趋紧，特别是很多地区出现口罩、医用酒精等抗疫物资不时，中国社会各界投桃报李，反向向日韩两国进行援助。在日韩两国之间也不乏暖心举动，比如两国政府专机都曾搭载对方国家民众从海外撤回等。 这一个个守望相助的生动故事，让中日韩民众重新认识了彼此。这在一定程度上缩小了民间友好“赤字”，也为“后疫情时代”的中日韩关系行稳致远提供了新动力。 除了民间友好外，进一步携手支持多边主义将成为“后疫情时代”中日韩合作的新方向。在此次疫情期间，美国为了推诿己过屡屡“甩锅”世卫组织，甚至还威胁永久“断供”并退出世卫组织，在全球抗疫的关键时刻削弱多边机制。作为美国在亚太地区盟友的日本和韩国，则表现得较为谨慎，并没有紧随美国步伐，反而积极支持世界卫生组织、支持在世界卫生组织的领导进行抗疫。此外，在中日韩新冠肺炎问题特别外长视频会议、东盟与中日韩抗击新冠肺炎疫情领导人特别会议上，围绕医疗卫生、出入境管理以及经济发展等议题，中日韩三国也均有意推进区域内的多边合作。例如，加快中日韩自贸谈判、年内签署区域全面经济伙伴关系协定等区域经济合作的突破令人期待。 值得一提的是，2018年李克强总理出席中日韩领导人会议期间就提出，打造“中日韩+X”模式。2019年8月，第九次中日韩外长会议通过了《“中日韩+X”合作概念文件》。因此，不论是从客观国际环境，还是从中日韩的实际出发，在“后疫情时代”中日韩三国对多边主义的支持力度将会增强、在多边领域的合作也有望成为三边关系发展的重要抓手。 疫情是一时的，友情是长久的。经历“山川异域，风月同天”“道不远人、人无异国”的携手抗疫后，中日韩三国政府深化了合作共识，中日韩民间友好进入了新阶段。在这样的背景下，期待“后疫情时代”的中日韩合作为推动东亚经济增长、引领区域一体化进程发挥重要作用，同时也为促进地区和世界发展贡献更多东方智慧和力量。（陈洋）  责任编辑：杨杰 
湖北省新增无症状感染者38例|2020年05月25日 08:57|原标题：湖北省新增无症状感染者38例 来源：楚天都市报 2020年5月24日0—24时，全省新增新冠肺炎确诊病例0例，无境外输入病例。新增治愈出院1例，为武汉市病例。 截至2020年5月24日24时，全省现有确诊病例6例（均为武汉市），其中重症1例、危重症1例，现有疑似病例0例。 全省累计报告新冠肺炎确诊病例68135例，其中：武汉市50340例、孝感市3518例、黄冈市2907例、荆州市1580例、鄂州市1394例、随州市1307例、襄阳市1175例、黄石市1015例、宜昌市931例、荆门市928例、咸宁市836例、十堰市672例、仙桃市575例、天门市496例、恩施州252例、潜江市198例、神农架林区11例。 全省累计治愈出院63617例，其中：武汉市46465例、孝感市3389例、黄冈市2782例、荆州市1528例、鄂州市1335例、随州市1262例、襄阳市1135例、黄石市976例、宜昌市894例、荆门市887例、咸宁市821例、十堰市664例、仙桃市553例、天门市481例、恩施州245例、潜江市189例、神农架林区11例。 全省累计病亡4512例，其中：武汉市3869例、孝感市129例、黄冈市125例、鄂州市59例、荆州市52例、随州市45例、荆门市41例、襄阳市40例、黄石市39例、宜昌市37例、仙桃市22例、咸宁市15例、天门市15例、潜江市9例、十堰市8例、恩施州7例、神农架林区0例。 全省累计追踪密切接触者284330人，尚在接受医学观察1158人。 5月24日，全省新增无症状感染者38例，转确诊0例，解除隔离9例，尚在医学观察的无症状感染者326例。 责任编辑：张迪 
31省区市新增无症状感染者40例|2020年05月25日 08:49|原标题：#31省区市新增无症状感染者40例# 5月24日0—24时，31个省（自治区、直辖市）和新疆生产建设兵团报告新增无症状感染者40例（境外输入2例）；当日无转为确诊病例；当日解除医学观察15例（境外输入2例）；尚在医学观察无症状感染者396例（境外输入28例）。 责任编辑：张迪 
31省区市新增确诊病例11例 均为境外输入病例|2020年05月25日 08:48|原标题：31省区市新增11例确诊 5月24日0—24时，31个省（自治区、直辖市）和新疆生产建设兵团报告新增确诊病例11例，均为境外输入病例（内蒙古10例，四川1例）；无新增死亡病例；无新增疑似病例。 当日新增治愈出院病例7例，解除医学观察的密切接触者461人，重症病例减少1例。 境外输入现有确诊病例46例（含重症病例1例），现有疑似病例5例。累计确诊病例1724例，累计治愈出院病例1678例，无死亡病例。 截至5月24日24时，据31个省（自治区、直辖市）和新疆生产建设兵团报告，现有确诊病例83例（其中重症病例7例），累计治愈出院病例78268例，累计死亡病例4634例，累计报告确诊病例82985例，现有疑似病例6例。累计追踪到密切接触者742506人，尚在医学观察的密切接触者5152人。 31个省（自治区、直辖市）和新疆生产建设兵团报告新增无症状感染者40例（境外输入2例）；当日无转为确诊病例；当日解除医学观察15例（境外输入2例）；尚在医学观察无症状感染者396例（境外输入28例）。 累计收到港澳台地区通报确诊病例1551例。其中，香港特别行政区1065例（出院1030例，死亡4例），澳门特别行政区45例（出院45例），台湾地区441例（出院414例，死亡7例）。 责任编辑：杨杰 
截至5月24日24时新型冠状病毒肺炎疫情最新情况|2020年05月25日 08:47|原标题：截至5月24日24时新型冠状病毒肺炎疫情最新情况 来源：国家卫生健康委员会官方网站 5月24日0—24时，31个省（自治区、直辖市）和新疆生产建设兵团报告新增确诊病例11例，均为境外输入病例（内蒙古10例，四川1例）；无新增死亡病例；无新增疑似病例。 当日新增治愈出院病例7例，解除医学观察的密切接触者461人，重症病例减少1例。 境外输入现有确诊病例46例（含重症病例1例），现有疑似病例5例。累计确诊病例1724例，累计治愈出院病例1678例，无死亡病例。 截至5月24日24时，据31个省（自治区、直辖市）和新疆生产建设兵团报告，现有确诊病例83例（其中重症病例7例），累计治愈出院病例78268例，累计死亡病例4634例，累计报告确诊病例82985例，现有疑似病例6例。累计追踪到密切接触者742506人，尚在医学观察的密切接触者5152人。 31个省（自治区、直辖市）和新疆生产建设兵团报告新增无症状感染者40例（境外输入2例）；当日无转为确诊病例；当日解除医学观察15例（境外输入2例）；尚在医学观察无症状感染者396例（境外输入28例）。 累计收到港澳台地区通报确诊病例1551例。其中，香港特别行政区1065例（出院1030例，死亡4例），澳门特别行政区45例（出院45例），台湾地区441例（出院414例，死亡7例）。 责任编辑：杨杰 
5月24日四川省新增境外输入确诊病例1例|2020年05月25日 08:24|原标题：四川省新型冠状病毒肺炎疫情最新情况（5月25日发布） 5月24日0-24时，四川新增新型冠状病毒肺炎确诊病例1例（为境外输入），无新增治愈出院病例，无新增疑似病例，无新增死亡病例。 新增确诊病例情况： 女，38岁，5月23日从埃及开罗乘机抵达成都后即接受隔离医学观察和动态诊疗，5月24日确诊。 截至5月25日0时，全省累计报告新型冠状病毒肺炎确诊病例564例（其中境外输入24例），累计治愈出院558例，死亡3例，目前在院隔离治疗3例，94人尚在接受医学观察。 5月24日0-24时，全省新增无症状感染者1例（为境外输入），当日解除集中隔离医学观察0例，尚在集中隔离医学观察4例（其中境外输入1例，湖北输入2例，吉林输入1例），比前一日增加1例。 （确诊病例及无症状感染者具体情况由各市<州>卫生健康委进行通报） 全省183个县（市、区）全部为低风险区。 责任编辑：张迪 
陈香美代表：应立法完善新发传染病疫情防控措施|2020年05月25日 08:07|原标题：陈香美代表：应立法完善新发传染病疫情防控措施 科技日报记者了解到，全国人大代表、中国工程院院士、解放军总医院肾脏病专家陈香美多年来一直关注国家公共卫生事业的发展。此次两会，陈香美围绕相关问题提出了建议。 陈香美表示：“如何应对新发传染病或不明原因传染病的大暴发，尤其是如何从法律角度完善对新发传染病疫情的防控措施是一个重大命题。” 目前，我国只有以公共卫生与医政管理为主的单个法律法规，主要包括《中华人民共和国传染病防治法》《中华人民共和国国境卫生检疫法》《突发性公共卫生事件应急条例》等。 “这导致不同的法律细则之间如何协调一致具有很大的难度。而突发公共卫生事件，需要卫生行政部门、防疫部门、医疗机构、科研单位协调配合，进行迅速有效地识别、上报、应急反应。”她表示，“因此，应按照新的形势将现有公共卫生领域的法律法规进行梳理，建立专门公共卫生法，保障在应对突发公共卫生事件时有严格的法律依据。” 陈香美建议，应加快公共卫生基本法的研究，优化重大突发公共卫生事件应急机制，完善主动预防型的应急响应体系。 她认为，应该从法律层面加强公共卫生事业建设经费占财政支出的比例，并制订专门法律条款，动员、组织社会力量参与突发公共卫生事件防御体系建设。 新冠肺炎疫情发生后，广大医务人员义无反顾冲上抗击疫情的一线。但人们也注意到，近年来，医闹、暴力伤医等事件依然时有发生，医护人员的社会认可度、社会地位等方面依然存在一些不尽如人意的地方。 对此，陈香美指出，应该采取长效措施，切实提高医护人员安全保障和社会尊崇，并提出了进一步明确《中华人民共和国基本医疗卫生与健康促进法》的法律责任等相关建议。 “对于在公共卫生突发事件中一线的医务人员，应给予更优厚的物质补偿和更高规格的精神奖励。可以建立医护纪念馆，成立抗疫英雄慈善基金，为牺牲的英雄家属，提供持续的抚恤，在全社会形成一种正能量氛围。”陈香美说。 来源：科技日报 责任编辑：屠正阳 
5月24日广东省无新增确诊病例 无新增无症状感染者|2020年05月25日 08:07|原标题：5月24日0-24时，广东省无新增确诊病例 无新增无症状感染者 新增出院1例 5月24日0-24时，全省无新增确诊病例，无新增无症状感染者。新增出院1例。 截至5月24日24时，全省累计报告新冠肺炎确诊病例1592例（境外输入197例）。目前仍在院3例。 来源：广东省卫生健康委官网 责任编辑：杨杰 
山东5月24日无新增境外输入疑似病例、确诊病例|2020年05月25日 08:00|原标题：山东无新增境外输入疑似病例、确诊病例 2020年5月24日0时至24时： 山东无本地住院疑似病例、确诊病例。累计报告确诊病例763例，死亡7例，治愈出院756例。 山东无新增境外输入疑似病例、确诊病例。累计报告境外输入确诊病例25例。无新增治愈出院病例，累计治愈出院24例。 山东无新增无症状感染者。正在隔离观察治疗的无症状感染者1例（境外输入）。 目前共追踪到密切接触者21700人，尚有38人正在接受医学观察。 详见下表（单位：例）： 备注： 山东省本地病例按确诊时医院所在县区统计，境外输入病例单独统计。 新增确诊病例和无症状感染者具体情况由相关市卫生健康委进行通报。 来源：健康山东 责任编辑：杨杰 
截至5月25日7时内蒙古自治区新冠肺炎疫情最新情况|2020年05月25日 07:59|原标题：截至5月25日7时内蒙古自治区新冠肺炎疫情最新情况 来源：内蒙古卫健委 2020年5月24日7时至5月25日7时，内蒙古自治区报告无新增输入本土确诊病例、疑似病例，无新增境外输入疑似病例。新增境外输入确诊病例10例、治愈出院2例（均由首都机场国际航班分流至呼和浩特白塔国际机场，其中2例确诊病例为之前的疑似病例）。 截至2020年5月25日7时，内蒙古自治区累计报告输入本土确诊病例2例，治愈出院2例；境外输入确诊病例150例（俄罗斯100例、英国23例、法国19例、美国4例、西班牙2例、瑞典2例），治愈出院125例。现有境外输入确诊病例25例、疑似病例1例。 截至2020年5月24日24时，内蒙古自治区报告无症状感染者0例。 以上患者均在定点医院隔离治疗，所有密切接触者均在指定场所进行集中隔离医学观察，全程实行闭环管理，严防疫情扩散蔓延。 自治区党委、政府高度重视本土和输入性疫情防控工作以及无症状感染者的相关情况，严格按照国家疫情防控要求，认真落实各项防控措施。（皇利华 供稿） 责任编辑：杨杰 
如何应对后疫情时代挑战？中国外交策略进一步明晰化|2020年05月25日 07:57|原标题：如何应对后疫情时代挑战？中国外交战略与策略正进一步明晰化 5月24日，一年一度的两会“中国的外交政策和对外关系”记者会召开。王毅国务委员兼外长就国际形势与中国外交，回答了记者们提出的23个问题。其内容之丰富，信息之全面，足以成为解读中国一段时期内外交政策的重要来源。 这次的记者会尤其受到关注，一方面是全球抗击新冠疫情仍旧处在胶着状态，而中国是第一个正重回“正轨”的国家。虽然基于疫情管控的谨慎，此次的记者会还是采用了网络视频的形式。东亚国家和欧洲的新冠疫情形势正在不断趋好，但是疫情扩散最为严重的美国的趋势仍旧是不甚明朗的，而世界第二人口大国印度的形势正变得日益严峻。中国的“这边风景独好”无疑加剧了某些国家对中国的战略敌意。另一方面，疫情中美国对中国的打压和抹黑不断升级。远的不说，5月20日美国五角大楼发布的《对华战略方针》就已经气势汹汹地摆出要搞一场对华“新冷战”的样子了。 因此，围绕新冠疫情而产生的一系列外交问题，自然就成为了记者会上王毅外长需要向外界阐释立场的“必答题”，而像中美关系、中俄关系、中欧关系、中日关系等重要大国关系及周边外交，显然也需遵循旧例，继续阐明新情势下的立场政策。在完整的问答之中，中国应对“后疫情时代”的战略与策略也正在进一步明晰化。 回击抹黑论调，阐释中国立场 新冠疫情暴发以来，西方一些政客及舆论，选择将中国作为其“甩锅”的首要对象，掀起一阵试图将新冠疫情政治化、把病毒标签化、对中国“污名化”的妖风。美国特朗普政府扮演了抹黑中国的旗手，而台湾当局更是趁机兴风作浪。这些抹黑论调，要么将新型冠状肺炎的起源认定为“中国病毒”或“武汉病毒”，要么将疫情的全球暴发归结于中国的政策失误或者世界卫生组织（WHO）及其总干事谭德塞偏袒中国所致，要么是将中国援助其他国家抗击疫情看作是中国借机宣传自身制度优势，实现战略扩张的诉求。 王毅外长一一回应了这些抹黑中国的论调，指出一些西方国家试图把病毒标签化、把溯源政治化、对中国污名化的做法是不得人心的，而且更不利于全球抗疫。中国在抗疫中不谋求任何地缘政治目标，从来没有任何经济利益的盘算，也从来没有附加任何政治条件。同样，他还明确阐述了中方对开展病毒溯源研究的开放态度，认为应坚持专业性、公正性和建设性的三原则。 对于世卫组织及其总干事谭德塞在抗击疫情中的表现，中方予以高度评价；对未来世卫组织的改革和发展，更应该加大资金支持，而不是要削弱它在全球卫生合作中的作用。这些立场，无疑与美国特朗普政府的论调和做法都是截然相对的，展现出中国的坦荡和理性。对于美国针对中国所谓的赔偿“滥诉”闹剧，王毅外长更是斥责为没有事实基础、没有法律依据、没有国际先例的“三无产品”。 妥处中美矛盾，稳定大国关系 美国特朗普政府为了推诿其在新冠疫情中的管控不力，不断将中国塑造成最大的敌人。王毅外长告诫道，当前中美两国的共同敌人是新冠肺炎疫情，华盛顿的政治病毒要停止抹黑中国和策划阴谋，以便让双方能聚焦合作抗疫，更不能让美国一些政治势力绑架中美关系，试图将中美关系推向所谓“新冷战”。而要处理好中美关系，过去两国的相处经验已经提供了答案，那就是应该互相尊重彼此政治制度，合则两利，斗则俱伤。 积极保持和运筹好同主要大国的伙伴关系，将是中国应对美国战略竞争的重要缓冲器。王毅外长对中俄关系将抗疫斗争中的高水平战略合作转化为疫情后中俄关系提速升级的动力表达了坚定的信心。至于中欧关系，虽然由于疫情暴发导致欧洲出现了对华政策矛盾的杂音，但是，王毅指出，中欧不应是制度性的竞争对手，而应是全方位战略伙伴。中欧关系要以建交45周年为契机，推动双方关系更加稳健成熟，实现提质升级。 拓展周边经贸合作，应对经济“脱钩论” 周边是任何大国全球战略的战略腹地。经略周边在中国的全局外交中占用重要地位。在去全球化和“经济脱钩论”的宏观背景下，构筑好区域经济共同体成为了应对“百年未有之大变局”的战略依托。在王毅外长论及中国与周边国家的关系中，尤能感受到这一点。 中日韩三国GDP占全球总量五分之一以上，推动三国合作具有重要意义。2019年12月在成都成功召开了第八次中日韩领导人会议，为加快中日韩自贸协定谈判和早日达成自贸协定奠定了政治基础。2020年中日韩三国的联合抗疫，更是彰显出三国民众守望相助的姿态。因此，王毅外长提出三国要着眼“后疫情时代”，提高区域经济合作水平，加快中日韩自贸谈判，力争年内能够签署区域全面经济伙伴关系协定（RCEP），深化经济融合。 另一个重要的合作就是中国与东盟的深度经济融合。2019年东盟取代美国成为中国最大的贸易伙伴。在新冠疫情下，中国与东盟的贸易不减反增，更是凸显出东盟对中国的战略意义。王毅外长指出，每一次危机都让中国东盟关系更加紧密、中国东盟合作更加强劲，因此中国将始终把东盟作为周边外交优先方向，推动中国东盟关系更进一步。 与此同时，在周边热点问题上，中国仍积极提供“中国方案”。除了继续阐明中国在南海问题、朝鲜半岛问题上的立场和政策诉求外，王毅外长还就美国与塔利班签署和平协议的新情势下，提出了当前中国对阿富汗问题解决的期待和原则。 着眼后疫情时代的战略应对 新冠疫情可能加速了世界大变局的重构。王毅外长一方面指出，新冠疫情给我们的最大启示是人类休戚与共、紧密相连，构建人类命运共同体可谓恰逢其时。另一方面他也指出，今后的世界将回不到我们所熟知的过去的世界了。为此，我们仍要坚持全球化与多边主义，改革与完善当前的全球治理架构。 对于后疫情时代的战略挑战，特别是美国可能在香港、台湾、新疆、西藏、人权等问题上对中国攻击抹黑，诋毁中国的社会制度、发展道路以及同其他国家的互利合作，中国要做好应对的准备。因此，王毅外长答称，中国当前决定推进香港国家安全立法的做法是合法、合理的，实际上是有利于香港的长远发展与中国的整体安全的。 对于台湾问题，王毅外长更是指出，当前是台湾当局罔顾民生福祉，不承认两岸同属一个中国的“九二共识”，才导致了两岸协商处理涉外问题的大门被关闭，中国要坚决反对某些国家以防疫合作为幌子与台湾当局开展官方往来，坚决反对违反一中原则为台湾谋求所谓国际空间，要坚决反对外部势力对“台独”分子“借疫谋独”予以鼓励和纵容。 同样，对于不少国家担心新冠疫情可能对中国继续推进“一带一路”倡议带来消极影响，王毅外长明确回答，中国与各国携手推进“一带一路”的信心不减，决心未变，会继续将“一带一路”打造成一条发展之路、合作之路、健康之路。  责任编辑：屠正阳 
内蒙古新增境外输入确诊病例10例|2020年05月25日 07:55|原标题：内蒙古新增境外输入确诊病例10例 2020年5月24日7时至5月25日7时，内蒙古自治区报告无新增输入本土确诊病例、疑似病例，无新增境外输入疑似病例。新增境外输入确诊病例10例、治愈出院2例（均由首都机场国际航班分流至呼和浩特白塔国际机场，其中2例确诊病例为之前的疑似病例）。 截至2020年5月25日7时，内蒙古自治区累计报告输入本土确诊病例2例，治愈出院2例；境外输入确诊病例150例（俄罗斯100例、英国23例、法国19例、美国4例、西班牙2例、瑞典2例），治愈出院125例。现有境外输入确诊病例25例、疑似病例1例。 截至2020年5月24日24时，内蒙古自治区报告无症状感染者0例。 以上患者均在定点医院隔离治疗，所有密切接触者均在指定场所进行集中隔离医学观察，全程实行闭环管理，严防疫情扩散蔓延。 自治区党委、政府高度重视本土和输入性疫情防控工作以及无症状感染者的相关情况，严格按照国家疫情防控要求，认真落实各项防控措施。 责任编辑：张迪 
上海24日无新增确诊病例 新增治愈出院1例|2020年05月25日 07:42|原标题：上海昨日无新增本地新冠肺炎确诊病例，无新增境外输入性新冠肺炎确诊病例，新增治愈出院1例 5月24日0—24时，无新增境外输入性新冠肺炎确诊病例。新增治愈出院1例（曾为危重症患者，经多学科专家团队积极救治后治愈），来自俄罗斯。 5月24日0—24时，无新增本地新冠肺炎确诊病例。 截至5月24日24时，累计报告境外输入性确诊病例327例，治愈出院316例，在院治疗11例（其中1例重症）。现有待排查的疑似病例4例。 截至5月24日24时，累计报告本地确诊病例341例，治愈出院332例，死亡7例，在院治疗2例。现有待排查的疑似病例0例。 截至5月24日24时，尚在医学观察中的无症状感染者0例。 责任编辑：张迪 
