美媒发现，中国看样子要先“飞”一步！|2020年08月19日 23:58|原标题：美媒发现，中国看样子要先“飞”一步！ 责任编辑：祝加贝 
辽宁大连全面恢复正常医疗服务|2020年08月19日 16:04|原标题：辽宁大连全面恢复正常医疗服务 中新网大连8月19日电（记者 杨毅）大连市卫生健康委副主任赵连19日在当地政府举行的疫情防控新闻发布会上称，从8月19日0时起，大连市各级各类医疗机构全面恢复正常医疗服务，并且不得以疫情防控为由停诊、拒诊或延误治疗。 此前，根据疫情防控需要，7月25日，大连市所有独立开设的门诊部、诊所停止诊疗服务，各医疗机构暂停非必要的门诊服务。随着疫情防控形势变化，8月6日，大连市发布《关于有序恢复医疗服务的通知》，在规范防护的前提下，逐步开放门诊诊疗服务，同时提出门诊部、诊所类医疗机构在疫情进一步控制后可逐步开放。 为满足广大患者就医需求，统筹推进疫情防控和经济社会发展“两手抓、两不误”，从8月19日0时起，大连市各级各类医疗机构全面恢复正常医疗服务，并且不得以疫情防控为由停诊、拒诊或延误治疗。 《通知》要求，各级各类医疗机构要认真做好疫情防控工作要重点关注发热、乏力、咳嗽、咽痛、腹泻等新冠肺炎相关症状的患者；设有发热门诊的医疗机构要进一步加强发热门诊力量、持续加大排查力度；各级各类医疗机构要加强病房管理，加强住院患者管理，原则上不安排陪护、不允许探视，必须陪护时陪护人员不得超过一人，严禁不符合规定人员进入病区。 赵连表示，目前，大连市所有地区均为低风险地区，疫情防控形势持续稳定向好，生产生活秩序加快恢复，经济社会发展全面推进。当前，统筹抓好疫情防控和经济社会发展，实现全社会的健康安全、平稳有序，是大连面临的一个全新课题，全市上下必须坚决筑牢常态化疫情防控每一道防线。（完） 责任编辑：张申 
严防秋冬季疫情 国家卫健委印发多份技术方案|2020年08月19日 16:04|原标题：严防秋冬季疫情 国家卫健委印发多份技术方案 今天是第三个中国医师节。今天下午，国务院联防联控机制召开新闻发布会，介绍秋冬季疫情防控，以及医疗卫生工作者在抗击新冠肺炎疫情中发挥的作用情况。 会上，国家卫健委疾控局监察专员王斌介绍，党中央高度重视秋冬季的疫情防控工作，这段时间，国家卫健委梳理各项常态化的防控措施，结合秋冬季的特点，进一步健全重点场所、重点环节的防控方案。 国家卫健委近期印发了农贸集贸市场新冠肺炎环境监测的技术方案，农贸集贸市场新冠肺炎疫情防控的技术指南，以及高等学校、中小学校和托幼机构秋冬季疫情防控的技术方案，同时还发布了学校传染病症状监测预警技术指南，传染病疫情居家隔离期间儿童青少年近视防控指南等技术标准和措施，科学规范指导农贸市场、学校等重点场所和重点环节的疫情防控工作，进一步强化技术方面的指导。 同时国家卫健委继续会同发改委、财政部等部门统筹利用好抗疫国债的资金、中央预算内的投资等资金渠道，加强核酸检测能力建设。我们进一步开展了人员培训，做好人员、设备、床位、物资等各方面的秋冬季应对疫情的准备，提升疫情应对的各方面能力。 此外国家卫健委还会同有关部门督促指导各地紧绷疫情防控这根弦，进一步完善疫情防控的指挥系统，毫不松懈抓好外防输入、内防反弹各项工作。这个过程中突出抓好监测预警，严格落实“四早”措施，确保及时发现、快速处置、精准管控、有效救治常态化防控机制的有效运转。这些工作措施也是秋冬季疫情防控的关键环节，同时加快核酸检测能力的建设。各个地方目前正在加强预案演练、物资储备和专业培训。我们要求各个地方要开展大排查、大培训、大演练，提升应急处置的水平和能力，做到有备无患。 发布会现场，王斌也希望广大媒体进一步广泛开展社会宣传和健康教育的活动，持续保持公众对新冠疫情的警惕性和防范意识，继续倡导一米线、勤洗手、使用公筷这些卫生习惯和良好的生活方式。 责任编辑：杨杰 
去年我国医疗卫生机构诊疗数达87.2亿人次|2020年08月19日 15:47|原标题：去年我国医疗卫生机构诊疗数达87.2亿人次 8月19日是第三个中国医师节。今天下午，国务院联防联控机制召开新闻发布会，介绍秋冬季疫情防控，以及医疗卫生工作者在抗击新冠肺炎疫情中发挥的作用情况。会上，国家卫健委医政医管局监察专员郭燕红介绍，当前，我国医师队伍正在从高速增长向高质量发展迈进，而广大医师队伍与全国广大的医务工作者一道，在提供医疗服务，提高人民群众健康水平方面也做出了积极的努力。 从住院量来看，2019年全国医疗卫生机构的入院人数是2.66亿人次，比2018年增长了4.5%，比2015年是增长了26.3%。 责任编辑：杨杰 
国家卫健委：采取更有力措施提高医务人员薪酬待遇|2020年08月19日 15:42|原标题：国家卫健委：采取更有力措施提高医务人员薪酬待遇 8月19日是第三个中国医师节。今天下午，国务院联防联控机制召开新闻发布会，介绍秋冬季疫情防控，以及医疗卫生工作者在抗击新冠肺炎疫情中发挥的作用情况。会上，国家卫健委医政医管局监察专员郭燕红介绍，今年以来，面对来势汹汹的新冠肺炎疫情，广大医务工作者牢记党和人民的重托，“白衣执甲，逆行出征”，义无反顾冲在疫情防控第一线，为保护人民的生命安全和身体健康作出了巨大贡献。为弘扬广大医务人员在抗疫工作当中所表现出来的崇高精神，彰显医务工作者护佑人民健康的职责使命，也激励广大医务人员为建设健康中国、增进人民健康福祉作出新贡献。 国家卫生健康委联合有关部门将今年中国医师节的主题确定为“弘扬抗疫精神、护佑健康”。同时，要求各地方、各部门通过各种形式的活动来进一步弘扬医务人员敬佑生命、救死扶伤、甘于奉献、大爱无疆的崇高精神，全力以赴，不仅要打好抗疫工作，促使各项举措的落实落地，取得成效，同时也要圆满完成好医疗卫生的各项工作。 国家卫健委要求，各地要以中国医师节的各项活动为契机，第一，要弘扬抗疫精神，奋力夺取抗击疫情的决定性胜利。我们要求各地大力弘扬抗疫精神，毫不松懈地抓紧抓实和抓好各项防控措施，不断巩固和拓展防控的成效，也进一步激励广大医务人员慎终如始、再接再厉，保持连续作战的优良作风，直至夺取抗击疫情的决定性胜利。 第二，要加强队伍建设，切实关心和关爱医务工作者。习近平总书记多次强调，医务人员是战胜疫情的中坚力量，要务必高度重视对他们的保护、关心、爱护。经历了这次疫情防控，医务人员队伍建设在维护和保障人民健康、捍卫国家安全等方面的作用日益凸显。因此，培养和拥有一支政治坚定、技术优良、医德高尚的医务人员队伍也显得更加重要。我们必须把医务人员的建设摆在更为重要的位置上，作为实施健康中国的重要资源。国家卫健委要求各地要主动关心关爱医务人员，采取更为有力的措施提高和保障他们的薪酬待遇，拓展发展空间，加强教育培训，营造更好的职业环境，建立医务人员荣誉制度，为他们安心工作和成长进步创造更为有利的条件。 第三，要广泛宣传和倡导，营造尊医重卫的良好氛围。广大医务工作者不仅在新冠肺炎等重大传染病流行，人民群众的生命健康受到威胁的非常时期甘于奉献、救死扶伤、做出努力，而且在日常维护和促进、保障人民健康的工作当中，以医者大爱、仁心仁术、精心治疗每一个患者，因此，不仅要对抗击疫情中涌现出的先进集体、先进人物进行广泛倡导和宣传，同时也要对日常工作当中先进的医务人员进行广泛宣传，树立榜样，激励广大医务人员秉承医者仁心，强化使命担当，继续当好守护人民健康的忠诚卫士。我们也要倡导全社会树立尊重医生、尊重医务人员就是尊重生命的理念，倡导科学的生命观、健康观，不断增进全社会对医务人员和卫生健康工作的理解、支持和认同，持续和有力地营造尊医重卫、共享健康的良好氛围。 责任编辑：杨杰 
截至去年底我国医师队伍达386.7万人|2020年08月19日 15:38|原标题：截至去年底我国医师队伍达386.7万人 8月19日是第三个中国医师节。今天下午，国务院联防联控机制召开新闻发布会，介绍秋冬季疫情防控，以及医疗卫生工作者在抗击新冠肺炎疫情中发挥的作用情况。会上，国家卫健委医政医管局监察专员郭燕红介绍，截至2019年底，我国医师队伍总数达到386.7万人，比2015年增加了将近83万人，增长27.2%。而在医师队伍当中，大学本科以上学历占到57.4%，比2015年增长8个百分点。 另外，我国基层医师队伍建设取得了成效。2019年底，基层医疗卫生机构医师数量达到143.7万人，比2015年增加了33.5万人，增长了30.4%。 通过重点支持，一些薄弱专业的医师队伍建设也同样取得了一些成效，比如，儿科、精神科等紧缺专业的医师数量在这几年增长迅速。儿科专业医师2019年已达到23.4万人。 责任编辑：杨杰 
疫情防控实战应对形成了特色鲜明的中国防控方案|2020年08月19日 15:35|原标题：疫情防控实战应对形成了特色鲜明的中国防控方案 8月19日是第三个中国医师节。今天下午，国务院联防联控机制召开新闻发布会，介绍秋冬季疫情防控，以及医疗卫生工作者在抗击新冠肺炎疫情中发挥的作用情况。会上，国家卫健委疾控局监察专员王斌表示，这次疫情防控的实战应对，为做好疾控工作积累了丰富而且宝贵的经验，形成了特色鲜明的中国防控方案。 比如，打好社区防控、发热门诊、面对面流调这三道防线；把握好2小时、12小时、24小时三个时限，突出重点地区、重点场所、重点人群防控三个重点；落实早发现、早报告、早隔离、早治疗的“四早”措施；管好确诊、疑似、发热、密接四类人员，做到应收尽收，应治尽治、应检尽检、应隔尽隔的“四应四尽”。这些防控措施、方法、技术以及标准和案例经受住了实战的检验，在疫情防控过程中发挥了关键性的作用。 王斌表示，在这场没有硝烟的战争中，广大疾控人员发扬“特别能吃苦、特别能战斗”，关键时刻“拉得出、上得去、打得赢”的疾控精神，在抗疫一线经受住了考验，充分展示了新时代疾控人员的精神风貌、意志品质、技术水平和应急能力，展现了疾控人“功成不必在我、功成必定有我”的情怀，圆满完成了党和国家交给的各项任务，为党和国家及人民交出了一份优异的成绩单。 责任编辑：杨杰 
江西新增境外输入新冠肺炎确诊病例3例|2020年08月19日 15:32|原标题：江西新增境外输入新冠肺炎确诊病例3例 2020年8月19日0-12时，江西省新增境外输入新型冠状病毒肺炎确诊病例3例，均为孟加拉国籍人员，于8月17日乘坐公务包机抵达南昌。按照境外人员入境管理规定，该3例确诊病例从下机、入境、检验、转运、隔离等整个过程均实行了严格的闭环管理，目前已在定点医院接受集中隔离治疗，病情稳定。 截至8月19日12时，全省累计报告境外输入确诊病例5例，累计出院病例2例，现有境外输入住院确诊病例3例。 江西省卫生健康委员会 2020年8月19日 责任编辑：杨杰 
国家卫健委：全国已累计追踪管理密接者80多万人|2020年08月19日 15:31|原标题：国家卫健委：全国已累计追踪管理密接者80多万人 中新网8月19日电 19日下午，国务院联防联控机制就秋冬季疫情防控、医疗卫生工作者在抗击新冠肺炎疫情中发挥的作用情况举行发布会。会上，国家卫健委疾控局监察专员王斌介绍，截至8月18日，全国累计追踪管理了密切接触者达80多万人，科学规范地开展环境消杀，营造清洁、干净、放心的环境，切断病毒的传播途径，遏制疫情的扩散蔓延。 此外，国家卫健委宣传司副司长米锋在发布会上介绍，当前，我国疫情得到有效控制，但面临的风险丝毫不能忽视。截至8月18日24时，连续49天有新增境外输入确诊病例报告，现有境外输入确诊病例超过200例。近期，国内一些地区接连发生聚集性疫情。秋冬季临近，流感等呼吸道传染病高发，给防控工作带来更大挑战。要始终紧绷疫情防控这根弦，始终做好个人防护，及时发现、快速处置。 责任编辑：张申 
全国增开673条抗疫心理援助热线|2020年08月19日 15:30|原标题：全国增开673条抗疫心理援助热线 8月19日是第三个中国医师节。今天下午，国务院联防联控机制召开新闻发布会，介绍秋冬季疫情防控以及医疗卫生工作者在抗击新冠肺炎疫情中发挥的作用情况。会上，国家卫健委疾控局监察专员王斌介绍，在此次抗击新冠肺炎疫情中，全国疾控系统加强健康宣教，引导全社会、全方位群防群控，全国各地的疾控、医疗和基层医疗卫生机构的广大医务人员组织开展了大量科普宣传，引导公众正确认识新冠肺炎，做好必要的个人防护，推行了戴口罩、勤洗手、少聚会、多通风等日常的防控措施，提升了公众主动防护的意识和能力。 责任编辑：杨杰 
细化60多项技术指南，提高疫情防控科学性和精准性|2020年08月19日 15:28|原标题：细化60多项技术指南，提高疫情防控科学性和精准性 8月19日是第三个中国医师节。今天下午，国务院联防联控机制召开新闻发布会，介绍秋冬季疫情防控以及医疗卫生工作者在抗击新冠肺炎疫情中发挥的作用情况。会上，国家卫健委疾控局监察专员王斌介绍，在疫情防控过程中，全国疾控系统坚持群防群控，联防联控，始终坚守在防控工作的第一线。 她说，疾控部门在实践中不断的总结疾病的规律，制定实施新冠肺炎防控方案，为疫情防控提供科学的指导。针对重点人群、重点场所、重点单位发布了15项防控技术方案，6个心理疏导工作方案，并根据疫情形势变化细化形成了60多项防控技术指南，提高了防控措施的科学性和精准性。 同时强化疫情监测的分析，为防控政策的调整提供参考依据，密切跟踪国内外疫情形势的变化，及时开展分析研判和风险评估，以循证为基础，以风险为导向，提出调整防控的策略和措施的建议。 坚决控制传染源，及时切断传播途径。广大疾控队伍深入疫情现场，认真开展流行病学调查，加强传染源的管控，开展核酸检测，做好密切接触者的追踪管理，及时启动了排查、诊断、隔离治疗等程序。截至8月18日，全国累计追踪管理了密切接触者达80多万人，科学规范地开展环境消杀，营造清洁、干净、放心的环境，切断病毒的传播途径，遏制疫情的扩散蔓延。 责任编辑：杨杰 
截至昨天，连续49天有新增境外输入确诊病例|2020年08月19日 15:19|原标题：截至昨天，连续49天有新增境外输入确诊病例 8月19日是第三个中国医师节。今天下午，国务院联防联控机制召开新闻发布会，介绍秋冬季疫情防控，以及医疗卫生工作者在抗击新冠肺炎疫情中发挥的作用情况。 会上，国家卫健委新闻发言人、宣传司副司长米锋表示，当前我国疫情得到有效控制，但面临的风险丝毫不能忽视。截至8月18日24时，连续49天有新增境外输入确诊病例报告，现有境外输入确诊病例超过200例，近期国内一些地区接连发生聚集性疫情。秋冬季临近，流感等呼吸道传染病高发，给防控工作带来更大挑战，要始终紧绷疫情防控这根弦，始终做好个人防护，及时发现，快速处置。 责任编辑：杨杰 
大连：全市民政服务机构服务秩序有序恢复|2020年08月19日 14:47|原标题：大连：全市民政服务机构服务秩序有序恢复 8月19日下午，大连市政府新闻办举行大连市新冠肺炎疫情防控工作第45次新闻发布会。大连市民政局局长汤易就做好社区常态化疫情防控，有序恢复民政服务机构服务秩序等情况做了介绍。 继续强化社区常态化疫情防控。按照市指挥部要求，社区活动场所暂缓开放，将根据疫情发展或上级主管部门要求，适时确定开放时间；要强化重点关注地区来（返）连人员排查管控工作；严格出租房屋和集体宿舍等管理；对于出租房屋、社区活动室、公共文化馆等公共场所以及居民小区，无法提供卡码人员不得进入。 严格遵循“早、小、严、实”原则，对来自域外重点关注地区的确诊病例、疑似病例、密切接触者、有发热或呼吸道症状者等“四类人员”和无症状感染者，要及时采取集中转运、隔离、留观、救治等措施。如有确诊病例立即封闭其所住楼栋，严禁无关人员进入，配合有关部门对密切接触者、一般接触者采取防控措施。 殡仪馆延迟恢复正常遗体告别和守灵服务，恢复时间另行通知。公墓等祭祀场所要重点加强“中元节”“寒衣节”等传统祭祀日的服务保障工作，制定祭祀活动工作方案和应急预案，防止祭祀活动发生人员踩踏、交通拥堵、火情火灾等事故。 有序恢复全市养老服务机构服务秩序的同时，要继续强化机构内部管理；目前，全市各救助管理机构、殡葬服务单位、婚姻登记机关等民政社会事务领域服务机构正有序恢复正常工作秩序。各服务机构要保持高度警惕，持续巩固疫情防控“零感染”成果。 责任编辑：武晓东 
大连：10例确诊病例今日出院|2020年08月19日 14:14|原标题：大连：10例确诊病例今日出院 8月19日下午，大连市政府新闻办举行大连市新冠肺炎疫情防控工作第四十五次新闻发布。截至8月18日24时，无新增本地确诊病例和无症状感染者，新增本地确诊病例出院2例，目前住院病例24例，正在实施医学观察的本地无症状感染者3例。19日14时又有10例确诊患者出院和1例无症状感染者出院，其中包括市民关心的小宝宝。至此，大连市累计78个确诊病例和24个无症状感染者共计102个患者出院。 责任编辑：武晓东 
上海今新增15例确诊病例痊愈出院 累计治愈出院769例|2020年08月19日 12:25|原标题：上海今天又有15例确诊病例痊愈出院，累计治愈出院769例 “上海发布”微信公号8月19日消息，上海市卫生健康委今日（19日）通报：15例新型冠状病毒肺炎病例，经定点医疗机构医护人员精心诊治和护理，专家组评估，认为符合国家卫生健康委最新的新型冠状病毒肺炎确诊病例出院标准，于今日出院。 病例1，中国籍，男，27岁，境外输入性病例，8月6日被确诊为新型冠状病毒肺炎确诊病例，转入市公共卫生临床中心。 病例2，中国籍，男，51岁，境外输入性病例，8月9日被确诊为新型冠状病毒肺炎确诊病例，转入市公共卫生临床中心。 病例3，中国籍，男，37岁，境外输入性病例，8月9日被确诊为新型冠状病毒肺炎确诊病例，转入市公共卫生临床中心。 病例4，中国籍，男，38岁，境外输入性病例，8月9日被确诊为新型冠状病毒肺炎确诊病例，转入市公共卫生临床中心。 病例5，中国籍，男，47岁，境外输入性病例，8月9日被确诊为新型冠状病毒肺炎确诊病例，转入市公共卫生临床中心。 病例6，中国籍，男，33岁，境外输入性病例，8月9日被确诊为新型冠状病毒肺炎确诊病例，转入市公共卫生临床中心。 病例7，中国籍，男，42岁，境外输入性病例，8月9日被确诊为新型冠状病毒肺炎确诊病例，转入市公共卫生临床中心。 病例8，中国籍，男，40岁，境外输入性病例，8月9日被确诊为新型冠状病毒肺炎确诊病例，转入市公共卫生临床中心。 病例9，中国籍，男，43岁，境外输入性病例，8月9日被确诊为新型冠状病毒肺炎确诊病例，转入市公共卫生临床中心。 病例10，中国籍，男，42岁，境外输入性病例，8月9日被确诊为新型冠状病毒肺炎确诊病例，转入市公共卫生临床中心。 病例11，中国籍，男，35岁，境外输入性病例，8月9日被确诊为新型冠状病毒肺炎确诊病例，转入市公共卫生临床中心。 病例12，中国籍，男，49岁，境外输入性病例，8月9日被确诊为新型冠状病毒肺炎确诊病例，转入市公共卫生临床中心。 病例13，中国籍，男，36岁，境外输入性病例，8月9日被确诊为新型冠状病毒肺炎确诊病例，转入市公共卫生临床中心。 病例14，中国籍，男，24岁，境外输入性病例，8月9日被确诊为新型冠状病毒肺炎确诊病例，转入市公共卫生临床中心。 病例15，中国籍，男，37岁，境外输入性病例，8月9日被确诊为新型冠状病毒肺炎确诊病例，转入市公共卫生临床中心。 为做好出院患者的健康管理，卫生健康部门将对患者开展必要的随访观察。 （原题为《上海今天又有15例确诊病例痊愈出院，累计治愈出院769例》） （本文来自澎湃新闻，更多原创资讯请下载“澎湃新闻”APP） 责任编辑：武晓东 
