北京19日22名确诊患者涉及小区公布|2020年06月20日 23:41|原标题：北京昨日22名确诊患者涉及小区公布 新京报讯（记者 戴轩）6月19日0时至24时，北京新增新冠肺炎确诊病例22例，病例活动过的区为海淀、丰台、大兴，涉及到的小区或场所共16个。 6月19日0时至24时，北京市新增新冠肺炎确诊病例22例，其中男性11例，女性11例；年龄平均37岁，最小1岁，最大56岁；北京户籍6例，外省户籍16例；丰台区13例、大兴区8例、海淀区1例；临床分型轻型9例，普通型13例，确诊病例均与新发地市场有关联。具体情况如下： 病例1，男，50岁，黑龙江人，住丰台区花乡，工作单位为新发地市场，6月14日发病，19日确诊，临床分型为普通型。 病例2，女，33岁，河北人，住大兴区西红门镇，工作单位为新发地市场，6月17日发病，19日确诊，临床分型为轻型。 病例3，男，39岁，湖北人，住丰台区花乡，工作单位为新发地市场，6月15日发病，19日确诊，临床分型为普通型。 病例4，男，34岁，河北人，住丰台区花乡，工作单位为新发地市场，6月17日发病，19日确诊，临床分型为普通型。 病例5，女，54岁，黑龙江人，住大兴区黄村镇，工作单位为新发地市场某饭店，6月15日发病，19日确诊，临床分型为普通型。 病例6，女，43岁，北京人，住丰台区花乡，曾经到新发地市场采购，6月14日发病，19日确诊，临床分型为普通型。 病例7，男，52岁，河南人，住丰台区马家堡街道，曾经到新发地市场采购，6月15日发病，19日确诊，临床分型为普通型。 病例8，男，34岁，山东人，住丰台区马家堡街道，曾经到新发地市场采购，6月15日发病，19日确诊，临床分型为普通型。 病例9，男，31岁，河南人，住丰台区花乡，曾经到新发地市场采购，6月14日发病，19日确诊，临床分型为普通型。 病例10，女，34岁，北京人，住大兴区天宫院街道，曾经到新发地市场采购，6月14日发病，19日确诊，临床分型为轻型。 病例11，男，34岁，广西人，住丰台区花乡，曾经到新发地市场采购，6月19日发病，19日确诊，临床分型为轻型。 病例12，女，32岁，四川人，住大兴区黄村镇，工作单位为某食品厂，为6月17日确诊病例的密切接触者，17日发病，19日确诊，临床分型为普通型。 病例13，女，34岁，河南人，住大兴区西红门镇，工作单位为某食品厂，为6月17日确诊病例的密切接触者，18日发病，19日确诊，临床分型为轻型。 病例14，女，56岁，北京人，住海淀区永定路街道，为6月16日确诊病例的密切接触者，14日发病，19日确诊，临床分型为普通型。 病例15，男，22岁，河南人，住丰台区马家堡街道，为6月19日确诊病例的密切接触者，17日发病，19日确诊，临床分型为轻型。 病例16，女，53岁，河南人，住丰台区马家堡街道，为6月19日确诊病例的密切接触者，17日发病，19日确诊，临床分型为轻型。 病例17，男，1周岁，北京人，住丰台区花乡，为6月18日确诊病例的密切接触者，18日发病，19日确诊，临床分型为轻型。 病例18，男，44岁，河北人，住大兴区高米店街道，为6月18日确诊病例的密切接触者，13日发病，19日确诊，临床分型为普通型。 病例19，男，36岁，河北人，住大兴区清源街道，为6月13日确诊病例的密切接触者，18日发病，19日确诊，临床分型为普通型。 病例20，女，24岁，北京人，住大兴区黄村镇，为6月17日确诊病例的密切接触者，14日发病，19日确诊，临床分型为轻型。 病例21，女，47岁，河北人，住丰台区花乡，为6月19日确诊病例的密切接触者，14日发病，19日确诊，临床分型为普通型。 病例22，女，22岁，北京人，住丰台区卢沟桥街道，为6月12日确诊病例的密切接触者，19日发病，19日确诊，临床分型为轻型。 永定路街道永定路70号院 花乡（地区）黄土岗社区宜兰园二区 花乡（地区）潘家庙路9号院 花乡（地区）天骄俊园 花乡（地区）新发地经营者乐园 卢沟桥街道五里店南里小区 马家堡街道角门北路 马家堡街道角门路60号木箱厂宿舍 高米店街道郁花园一里 黄村（地区）镇海鑫北路17号院 黄村（地区）镇狼垡一村 黄村（地区）镇三间房村福旺街 清源街道枣园东里社区首邑上城 天宫院街道珺悦国际 西红门（地区）镇建新庄三条 西红门（地区）镇西红门一村镇光街 北京市疾控中心提醒，新冠病毒传染性强，传播途径复杂。疫情期间，尽量减少外出聚会就餐，避免多人集聚；在住所、工作场所等处，需保持室内经常通风，减少疫情传播风险。曾经去过新发地市场或到新发地市场采购的人员要服从社区防控管理要求，主动报告，不得外出，做好自身防护。建议市民朋友在社区组织下有序参加核酸筛查，如无新发地市场接触史和身体异常状况，可不必扎堆预约筛查；进行核酸检测时，戴好口罩，有序排队，保持距离。尤其是在电梯等公共密闭空间内要保持安全距离，规范佩戴口罩，回家后及时洗手，减少疫情传播风险。 新京报记者 戴轩 责任编辑：祝加贝 
关于北京和全球疫情 张文宏作出最新判断|2020年06月20日 12:35|原标题：关于北京和全球疫情，张文宏作出最新判断 据北京市卫健委最新消息，6月11日至6月19日24时，北京累计报告新冠肺炎病毒本地确诊病例205例。 这波疫情以来，北京9天累计确诊超200例。 面对不断攀升的数字，何时能彻底控制疫情，在每个人心中留下了疑问。 6月20日，张文宏医生对北京疫情做出最新判断：对于疫情演变方向，根据目前北京的防控力度，一般在疫情高峰到来之时的后2周能够彻底控制疫情。 他在微博中指出，北京正为彻底管控疫情加大力度。目前的传播路线集中在与新发地市场相关的餐饮业人员与采购人员及其密切接触者上，传播链涉及人际传播或者经污染食材传播。根据这一发现，后阶段的防控将更为精准。 救治方面，北京聚集全市优势医疗力量在地坛医院展开集中救治，应能保证救治工作的高效。 此前，张文宏评判北京疫情时曾说，“接近零病例”状态将是中国防疫的常态。只要及时发现，快速处置，精准管控，这些散发的疫情定能得到很好控制。 在北京疫情加速管控的同时，全球疫情的不确定性却令人堪忧。 美国约翰斯·霍普金斯大学发布的实时统计数据显示，截至北京时间6月20日6时30分左右，全球累计确诊新冠肺炎病例超856万例，达8569962例，累计死亡457388例。 世界卫生组织总干事谭德塞6月19日在例行记者会上表示，前一天各国向世卫组织报告确诊病例超过15万例，是疫情暴发以来报告新增确诊病例最多的一天。 新增病例约一半来自美洲地区，南亚和中东也是新增病例较多的地区。谭德塞说，新冠病毒快速传播、威胁生命，当前世界仍然处于新的“危险阶段”。 由于目前高疫情国家迫于经济压力，逐渐采取全面开放的政策，这将带来全球疫情的巨大不确定性。张文宏判断，全球疫情还在不断攀升，10天之后会破1000万。 近期全球多国纷纷加大对于新冠药物的研发投入，而加快疫苗产品研发速度也将成为解决这一全球性灾难的关键途径。在获得3期临床研究结果前，全球高疫情国家可能会启动2期临床研究有效疫苗的紧急使用权限（Emergency Use Authorization），特别是在老年人等脆弱人群中进行接种。 此外，张文宏认为，无论疫苗到来与否，全球性疫情蔓延情况至少要到年底和明年上半年，在这之前，中国保留谨慎心态，维护来之不易的安定局面，倡导公众场所戴口罩、大力开展爱国卫生运动与强化个人卫生的科普教育，在防疫工作继续巩固，公共卫生体系不断强化的基础上，坚决推进经济的复苏，将是未来相当长一段时间内的“新常态”。 北京日报（ID：Beijing_Daily）综合@张文宏医生、@人民日报等 责任编辑：张玉 
探秘新冠病毒核酸检测实验室|2020年06月20日 12:13|原标题：探秘新冠病毒核酸检测实验室 新型冠状病毒核酸检测，是病例筛查最关键的一环。随着北京疫情的持续，近期新型冠状病毒样本核酸检测的数量急剧增加，在这背后，有许多在核酸检测实验室里“战疫”的“病毒猎手”。 昨天，京呈（微信ID：jingchengphoto）跟随几位“病毒猎手”进入北京市普仁医院PCR实验室，探秘他们的工作。 这里是东城区属医院里唯一具有新冠肺炎病毒核酸检测技术的实验室，今年6月15日刚刚启用，当天就立即用于新冠肺炎病毒核酸检测。 “PCR实验室”又叫基因扩增实验室，而PCR是聚合酶链式反应（Polymerase Chain Reaction）的简称，是一种分子生物学技术，用于放大特定的DNA片段，可看作生物体外的特殊DNA复制。 当某种病原微生物中病毒极少时，传统的检测方法难以检出，但通过采用荧光定量PCR方法，可将病毒RNA片段扩增到百万倍以上，更容易被检测。 而具备PCR临床基因扩增检验资格的检验人员就如同“病毒猎手”，在万千样本之中，捕捉病毒的蛛丝马迹。 普仁医院PCR实验室启用以来，虽然仅有三个检验人员，但连续几天满负荷运转，截至6月19日已经检测样本982人份。 除了来自本院发热门诊、门急诊、病房和核酸检测采样点的样本之外，实验室还承接了下属社区以及东城区集中核酸检测点采集的部分样本。 每天早上7点，普仁医院医技楼三楼检验科里已经一片忙碌景象。杨会娟是普仁医院检验科主任，也是PCR实验室的负责人。她招呼着同事赶快吃一口食堂带回来的早饭，几名“病毒猎手”开始准备一天忙碌的工作。 PCR核酸检测实验室由多个功能各异的区域组成，包括试剂准备区、标本制备区、扩增区、产物分析区等。实验室有着极高的安全防护要求，尤其标本制备区、扩增区等关键区域，与检测样本近距离接触，有很高的感染风险。 检验人员都要身穿三级防护服，配备护目镜、N95口罩、二层橡胶手套等防护装备。 王红梅和曹丽娜是第一批跟杨会娟主任进入实验室工作的检验人员，这几日两人分工合作，形成了很好的默契。一个人穿上防护服进入检测的“污染区”，另一人则在低风险的洁净区进行样本传递、试剂准备、消毒清洁等工作。 一份样本进入实验室后，先进行消毒，经水浴灭活，编号之后放入核酸提取仪器中进行核酸提取；提取出来的核酸与扩增检测试剂混合，进一步做核酸扩增检测。 检测的结果会在六七个小时左右出炉，并尽快将经过审核的报告发放到被测者手中，也可在两个工作日后通过“北京市普仁医院”的微信公众号查询。 虽然在室内工作，但高温仍然会给检验人员带来不小的麻烦，为了流程的紧凑，提高检测效率，工作人员往往穿着防护服在实验室里一呆就是半天时间，密闭狭小的空间也无形中加大了工作压力。 随着样本量不断增多，检测的工作量加大，实验室陆续扩增“猎手”队伍。杨会娟主任表示：“普仁医院检验科一共有13名检验人员具备PCR检验资格，近期会通过‘老带新’的方式陆续加入实验室工作，多人轮换能够更充分地利用设备。在人员和设备都充分运转的理想状况下，实验室争取将样本日检测量扩大到500人份左右。” 严峻的疫情下，这群PCR实验室内的“病毒猎手”，用他们的高超技术和辛苦付出，为北京市尤其是东城区疫情防控检测增添了利器！ 来源：京呈（微信ID：jingchengphoto） 责任编辑：郑亚鹏 
化繁为简！这波疫情背后的五个关键问题|2020年06月20日 11:51|原标题：化繁为简！这波疫情背后的五个关键问题 6月11日，一例本地新冠肺炎患者的确诊，打破了北京连续57天无本地报告新增确诊病例的宁静： 先是“三文鱼”火了，但网友疑问“三文鱼连肺都没有，哪来感染？”问题的背后，折射出公众对未经确证信息的严谨态度。 后来“西城大爷”又立功了，凭着精准记忆和描述，协助相关部门第一时间锁定源头——新发地市场。赞赏背后，是公众对提供确定性信源的认同。 那么，此次北京疫情的的源头和传播中，哪些是确证的信息，哪些又是尚未确证的？关系到疫情防控的发展和公众的生命安全。 病毒从哪里来的？这是公众的首要疑惑，也是溯源工作的重中之重。 此次北京疫情，新增确诊的一百多例中，大多数与新发地农产品批发市场直接或间接有关。例如，北京市官方通报中，就有多起因接触去过新发地市场的餐馆员工，而确诊的聚集性疫情。 一时间，新发地市场成为风口浪尖。北京市疾控中心副主任庞星火介绍，初步推断，本次疫情由人际传播或物品环境污染引发的感染所致。 溯源地的确认中，关键证据在于对环境样本的采样检测结果。近日，中国疾控中心病毒病所专家分别于6月14日、15日和17日，三进新发地，对病毒可能污染的环境位置和物品食品进行了采样。这里面包括：鱼虾等冻品以及可能大量接触这些冻品的砧板、柜台、案板；感染者排毒可能会污染的墙面、冰箱表面、地面、鱼缸和水沟等。 结果显示：第一次采集的200多份样本，检出了不少阳性样本。第二次200多份样本，又有不少是阳性的。第三次，专门对市场上水、鱼养殖保存水、水渠、地下水等水体系统进行了科学采集和检测，同时还采集了空气样本以确定气溶胶传播风险，目前样本正在检测中。 根据感染者的轨迹和大量采样分析，新发地作为此次疫情发源地是明确的。更重要的是，阳性样本的分析，将对进一步明确传染源的具体指向打下了基础。 寻找中间宿主，是另一关键工作。 疫情之初，因新发地市场某三文鱼案板上检出新冠病毒，一时间国内诸多商超、餐厅连夜下架三文鱼及其相关产品，整个海鲜行业也“躺枪”受到波及。 客观来说，在三文鱼身上最早发现，不代表三文鱼或海鲜市场本身就是病毒的源头。对此，中国疾控中心流行病学首席专家吴尊友表示“无直接证据显示三文鱼是传播源头。”同样，在19日下午举行的国务院联防联控新闻发布会上，中国疾病预防控制中心研究员冯录召也证实，目前，还没有发现通过食用食物包括海鲜产品，经过消化道感染的证据。 对比来看，从武汉到北京，有一大相同点就是疫情最先在批发市场被发现。那么，市场的环境因素是专家思考的重要方向。 “海鲜市场的环境比较湿冷。而微生物包括病毒它就是怕热不怕冷，在这样的环境下能存活很久。而且这里不光是湿冷，它们还封闭，通风状况不好，这也会对病毒的传播起到推波助澜的作用”，中疾控病毒病所所长助理、国家流感中心副主任刘军研究员解释，“比如一个新冠病毒感染者打了一个喷嚏，它很难扩散出去，飞沫可能会沉降到地面，经过冲水扫地后污染其他地方。” 这就给了我们新的思路：三文鱼更可能是携带新冠病毒，而非感染该病毒，是不是有可能源头就是一个感染者或者被污染的食品，而海鲜市场的环境给它造就了快速传播的机会？ 目前，环境采样工作还在持续进行中，需要全面的环境检测数据来说明谁是中间宿主。 毋庸置疑，科技是战胜疫情的最有力武器。 确定病毒流行时间的早晚，目前主要采取的是基因组流行病学的方法。中国疾控中心病毒病所所长助理张勇介绍，“从基因组流行病学的初步研究结果看，这个病毒是从欧洲来的，但是它跟欧洲当下流行的病毒又有一定差别，它比现在欧洲流行的病毒要老。” 吴尊友的观点也印证了这一说法。6月15日，吴尊友表示，“从病毒的组成结构来看，此次病毒不像北京两个月以前出现病例的毒株，更像欧洲的。但这不代表病毒一定来自欧洲国家。” 但病毒究竟是怎么进来的？又如何被带到北京新发地？ 张勇作了可能性分析：“比如病毒潜伏在了进口的冷冻食品当中，在从境外到境内的整个存储、运输的期间，病毒由于被冷冻没有发生进化，所以它不会发生变异；也有可能病毒是在新发地农产品批发市场等阴暗潮湿的环境里潜伏下来，没有被消毒、灭菌，在一定时间内突然暴露感染人，导致进化速度变慢，最终我们看到的就是这些毒株更接近于欧洲老病毒。” 当然，初步研究结果和相关假设，对与不对，需要拿更充分的数据肯定或者否定它。更重要的是，仅仅依靠基因测序手段还不够，需要通过流调能够把感染者、密切接触者之间的接触关系、传播链条、传播网络构建起来。同时，需要借助大数据技术，把感染者和密切接触者的行动轨迹梳理出来，这样一种新的手段能为传统流调提供有价值的补充。 因此，病毒溯源这样一个严谨的科学问题，需要一个较长的阶段，也需要多学科联合开展、交叉验证。 6月18日，在北京市新冠肺炎疫情防控工作第125场新闻发布会上，吴尊友“北京疫情已经控制住了”的说法一出，激起千层浪。 诚然，这一观点对稳定公众情绪起到了作用。而且吴尊友也补充道：“我说控制不是说明天后天就变成零了，这个曲线还会延续一段时间，病例数会越来越少”，但学者的判断没有完全彻底消除大家的疑虑。 从乐观一面看， 6月11日-18日，北京新增病例数为：1，6，36，36，27，31，21，25。短期来看，平稳有降。而且，庞星火在6月17日表示，目前病例中以普通型和轻型病例为主，占总病例数的95%，疫情在早期即被发现。 从复杂一面看，目前北京市疫情还非常严峻，考虑新发地市场是本市最大的农副产品交易场所，物流广泛、人员密集，疫情扩散风险大，控制难度较大，不排除发病人数未来还会维持并持续一定时间。 客观上来看，疫情到底有没有得到最终控制，恐怕还需要更多的维度，更长的时间来印证。无论如何，更何况国际疫情仍在蔓延，对“外防输入、内防反弹”不能掉以轻心。 疫情之初，全世界都把疫苗研发摆在优先位置。公众特别关心的是疫苗什么才能用上？ 过去一段时间，我国相关团队的疫苗研制产品不断取得阶段性成果，一些受试者产生了抗体，反应良好。根据科技部、卫生健康委在6月19日通报，我国已有5个新冠疫苗获批开展临床试验，占全世界开展临床试验疫苗总数的4成，预计近期其他技术路线疫苗也有望相继获批开展临床试验。 今年年底前新冠疫苗有望大规模接种吗？此前，钟南山院士表示，新冠疫苗最早在今年秋天或年底可作为应急使用。吴尊友表示，年底前疫苗问世有可能，但大规模应用只能说有希望。 就规律而言，一个好的疫苗需要一年半、两年的长时间研发，需要满足“安全、有效、质量可控”三个条件。专家强调，如果面临特别重大公共卫生事件，依照疫苗法规定，在充分论证、知情同意的前提下，在一定范围和期限内可以紧急使用疫苗，以保护一些暴露风险高的群体。 因此，我们对疫苗的研发成功是充满信心的，对疫苗的大规模使用还要保持耐心。 责任编辑：张玉 
北京新增22例确诊病例 风险等级提升后从严从紧防控|2020年06月20日 11:43|原标题：北京新增22例确诊病例 风险等级提升后从严从紧防控 中新社北京6月20日电 （记者 杜燕）6月19日0时至24时，北京市新增报告确诊病例22例、疑似病例4例、无症状感染者2例。 北京市卫生健康委员会20日表示，6月19日0时至24时，北京市新增22例确诊病例中，丰台区13例、大兴区8例、海淀区1例。截至6月19日24时，北京市自6月11日以来累计报告确诊病例205例，尚在观察的无症状感染者17例。 205例确诊病例涉及北京市9个区，其中丰台区144例、大兴区36例、海淀区8例、东城区5例、房山区4例、西城区4例、门头沟区2例、朝阳区1例、石景山区1例。 根据国务院客户端“疫情风险查询”系统，截至6月19日15时，北京市丰台区花乡（地区）乡、大兴区西红门（地区）镇为高风险地区，丰台区、大兴区等9个区的33个街乡镇升级为中风险地区，其中10个位于丰台区、9个位于大兴区。 国务院联防联控机制发布《低风险地区夏季重点场所重点单位重点人群新冠肺炎疫情常态化防控相关防护指南（修订版）》（简称《防护指南》）提出，各地按照分区分级标准，依据本地疫情形势，及时调整风险等级和应急响应级别。一旦从低风险调整为中高风险地区，要实施精准防控，在划定防控区域范围内重点场所、重点单位、重点人群要从严从紧落实防控措施，及时调整转换卫生防护要求。 《防护指南》指出，中高风险的防控区域范围内的密闭式娱乐、休闲场所，建议暂停营业；生活服务类场所，应缩短营业时间、限制人员数量和停留时间，减少人群聚集；开放式活动场所，在做好环境清洁消毒、人员健康监测、减少人群聚集的前提下正常营业；客运场站和公共交通工具，要严格落实体温测量、戴口罩、通风消毒、分区分级客座率（满载率、人员聚集度）控制等措施。 记者了解到，北京市按照突发公共卫生事件二级应急响应相关防控措施要求，对餐饮、商场超市、批发市场、外卖快递、美发美容、摄影、家政等13个行业疫情防控指引进行修订并发布执行。 依据新指引，北京市明确，餐饮企业暂停举办婚宴、酒席等群体性聚餐活动；快递员和网约配送员配送时，应按要求出示北京健康宝，实行无接触配送等。（完） 责任编辑：郑亚鹏 
辟谣！两则河南居民感染新冠肺炎消息不实，系谣言！|2020年06月20日 11:21|原标题：辟谣！网传两则河南居民感染新冠肺炎消息不实，系谣言！ 据郑州发布消息，近日，网传微信截图显示，河南郑州网民张某某所发自己新冠病毒抗体检测结果为“血清阳性”，并自认为自己已经被确诊为新冠肺炎病例。该信息被部分网友转发，引发网民误读。 目前，“核酸检测”是新冠病毒实验室检测的“金标准”，而血清抗体检测并不是确诊新冠肺炎的检测手段。张某某系核酸检测阴性，根据国家诊疗方案和防控方案的病例定义，不是确诊病例和无症状感染者。 按照郑州市防控措施，第一时间将张某某隔离医学观察，并进行了核酸和血清抗体复核，复核结果均为阴性。为确保不放过任何一个可疑病例，疫控部门对近期与其密切接触的25名人员全部进行了核酸和血清抗体检测，结果均为阴性。 在疫情防控期间，请公众不信谣、不传谣，疫情信息以官方发布的权威信息为准。各检测机构和检测对象对未被官方复核认可的检测结果不得随意发布，以免造成社会误解和恐慌。 这两天，一则关于周口市淮阳区居民贾某某、黄某某血清检测为阳性的病例消息在部分微信群里转发，引发关注。对此，淮阳区人民医院发布消息称，该二人两次实时荧光RT-PCR检测新型冠状病毒核酸阴性，不符合新冠肺炎诊断标准。 记者从网传的病历看到，患者贾某某有近期赴北京游玩的经历。回到周口后，自行到疾控部门接受核糖核酸检测，结果提示为血清IgM为阳性，患者无明显症状。 消息一出，引发网友热议。近日，收治两名患者的淮阳区人民医院发布消息称，经淮阳区新冠肺炎救治专家组会诊并核实，依据国卫办医函［2020］184号《关于印发新型冠状病毒肺炎诊疗方案》（试行第七版）的通知，新冠肺炎确诊病例及无症状感染者的主要判定依据是核酸检测，血清抗体检测一般作为筛查辅助技术，不单独作为确诊病例或无症状感染者的诊断依据。 上述患者两次实时荧光RT-PCR检测新型冠状病毒核酸阴性，不符合新冠肺炎诊断标准。目前，该患者正在隔离观察。 责任编辑：张玉 
详情通报！6月19日广州报告新增境外输入确诊病例3例|2020年06月20日 11:17|原标题：详情通报！6月19日0时至24时，广州市报告新增境外输入确诊病例3例。新增无症状感染者3例 新增出院病例9例。截至6月19日24时，累计报告境外输入确诊病例173例、境外输入关联病例28例。累计出院188例，尚在院治疗13例。 截至6月19日24时，累计报告境内确诊病例349例。累计出院348例，累计死亡1例。 责任编辑：张玉 
北京9日内新增确诊病例205例 多名餐馆员工确诊|2020年06月20日 11:12|原标题：北京多名餐馆员工确诊 北京9日内新增确诊病例205例 责任编辑：张玉 
国家中医药管理局：中医医疗机构要强化院感防控|2020年06月20日 11:09|原标题：国家中医药管理局：中医医疗机构要强化院感防控 中新网6月20日电 据国家中医药管理局网站消息，国家中医药管理局办公室19日发布关于进一步强化中医医疗机构新冠肺炎疫情防控工作的通知。通知指出，各中医医疗机构要强化院感防控和医护人员防护，坚决杜绝院感事件发生。 通知提出六个具体要求。一是树立底线思维，进一步提高对疫情防控形势的认识。各级中医药主管部门和各中医医疗机构要切实贯彻落实“外防输入、内防反弹”的防控策略，在当地联防联控机制统一部署下，严格按照“及时发现、快速处置、精准管控、有效救治”工作要求，全力以赴落实落细中医医疗机构各项防控工作，坚决防止疫情扩散蔓延。 二是充分发挥医疗机构哨点作用，落实“四早”措施。各中医医疗机构要规范发热门诊、预检分诊点设置和管理，加强防护物资储备。对于所有到发热门诊就诊的患者，必须扫“健康码”，并进行核酸检测。发热门诊不得拒绝接收发热患者就诊。严格落实首诊负责制，医务人员要做好“守门人”，发现可疑病例，要立即隔离，并请院内专家会诊，如仍考虑为疑似病例，应详细登记相关信息，按照有关规定迅速报告，及时转入定点医院进一步诊断治疗，不得擅自允许患者自行转院或离院。 三是提升核酸检测能力，做到“应检尽检”。各地要按有关要求加快提升中医医疗机构核酸检测能力、尽力扩大核酸检测范围。三级中医医院应当建立符合生物安全二级以上标准的临床检验实验室，具备独立开展新冠病毒检测的能力。鼓励有条件的二级中医医院加强实验室建设，提高检测能力。各地暂不具备新冠病毒检测能力的中医医院可与当地疾控机构、其他医疗机构或第三方医学检验机构合作开展核酸检测。各中医医疗机构要进一步扩大检测范围，对发热门诊患者、门急诊中高度怀疑感染新冠病毒患者、入院患者、陪护人员以及医疗机构工作人员等重点人群“应检尽检”，对其他人群实施“愿检尽检”。 四是加强全员培训和演练，提高应急救援和传染病防控能力。各中医医疗机构要根据自身所处地理环境、在疫情防控中的功能定位，查找薄弱环节，制订不同疫情防控压力下的应对预案，对各类资源、人员调配提前做出安排，对疫情防控需要的各类设施设备进行清查盘点，不足部分及时补齐，确保疫情发生时有足够的药品、防护用品等储备物资，有可立即投入使用的病床和各类医疗设备。 五是强化院感防控和医护人员防护，坚决杜绝院感事件发生。各中医医疗机构要毫不放松落实感染防控各项措施。加强诊疗环境的清洁消毒处置，做好环境通风管理。落实分区管理要求，合理划分清洁区、潜在污染区和污染区，区别医务人员通道和患者通道。严格执行院感防控、消毒隔离等各项规章制度及技术标准。加强患者收入院管理和住院患者管理，制定疫情期间患者入院筛查流程，严格探视和陪护管理，避免交叉感染。 六是加强督导检查力度，强化责任落实。各中医医疗机构要严格执行信息报告制度，加强信息收集、监测，及时、准确上报信息，坚决杜绝瞒报、迟报、漏报，做到发现疫情2小时内报告。对重点部门、重点环节、重点人群、重点岗位要逐一梳理排查，及时堵塞漏洞，补齐短板。对院感防控工作不重视、落实院感防控基本要求不到位，导致出现严重院内感染事件的，按照规定对医疗机构和相关责任人作出处理。 责任编辑：张玉 
我国三个新冠疫苗完成二期临床试验|2020年06月20日 10:54|原标题：我国三个新冠疫苗完成二期临床试验 6月19日，据科技部、卫健委通报，我国三个新冠肺炎疫苗完成二期临床试验。目前，我国已有5个新冠疫苗获批开展临床试验，占全世界开展临床试验疫苗总数的4成。 责任编辑：郑亚鹏 
北京市长陈吉宁到丰台区疾控中心检查|2020年06月20日 10:52|原标题：北京市长陈吉宁到丰台区疾控中心检查 6月19日下午，市委副书记、市长陈吉宁以“四不两直”方式到丰台区疾病预防控制中心检查疫情应对处置工作情况并慰问疾控工作者。他强调，新发地批发市场聚集性疫情发生以来，丰台区承担着一线应对处置的繁重任务，要全力以赴，扎实细致、高质量地做好流行病学调查工作，市级加强统筹、调配力量支援，尽快摸清疫情传播风险点，为科学防控、精准施策，坚决打赢疫情防控阻击战奠定坚实基础。 陈吉宁来到丰台疾控中心，与一线疾控卫士交流，了解大家的工作生活情况，听取对当前工作的意见建议。检测实验室从年初疫情发生以来就保持连续工作，近期更是24小时持续运转，六十名流调队员3人一组，毫不松懈、连续作战。新发地及周边地区环境消杀，封闭小区的核酸检测采样，为了及早控制疫情，疾控中心每个人都加班加点、废寝忘食。 陈吉宁详细查阅第一手流调报告，了解疾控中心人力配置和工作情况。他说，丰台区疾控中心承担着这次聚集性疫情应对处置工作中的重要任务，大家以战时状态冲在一线，发扬连续作战精神，为全市科学精准防控做出了重要贡献。当前防控形势依然严峻，丰台区要以新发地区域和医务人员、服务业从业者等为重点，扎实开展流调工作，优化流程、提高效能，与相关部门加强对接，通过流调勾勒病毒传播路径。要统筹市级资源，动员第三方参与，加强封闭小区和集中隔离点健康管理，做好核酸检测和环境消杀工作，坚决阻断疫情传播途径，及早、有效控制疫情。 在因疫情封闭的宜兰园小区，陈吉宁看到社区工作者把生活必需品逐一配送到 楼门，居民封闭期间生活秩序稳定。他向广大市民自觉配合疫情防控工作表示感谢，向社区工作者、公安干警和志愿者表示慰问，要求属地政府和有关部门切实保证群众基本生活，更好地服务群众需求。 市政府秘书长靳伟一同检查。 责任编辑：郑亚鹏 
湖北新增新冠肺炎确诊病例、无症状感染者0例|2020年06月20日 09:32|原标题：湖北新增新冠肺炎确诊病例、无症状感染者0例 中新网湖北新闻6月20日电 据湖北省卫健委网站消息，6月19日0—24时，全省新增新冠肺炎确诊病例0例，新增疑似病例0例，新增死亡病例0例，无境外输入病例。 截至2020年6月19日24时，全省现有确诊病例0例，现有疑似病例0例。全省累计报告新冠肺炎确诊病例68135例，累计治愈出院63623例，累计病亡4512例。全省累计追踪密切接触者285037人，尚在接受医学观察50人。 6月19日，全省新增无症状感染者0例，转确诊0例，解除隔离0例，尚在医学观察的无症状感染者2例。 责任编辑：张玉 
武大师生为新冠肺炎牺牲烈士和逝世同胞默哀|2020年06月20日 09:16|原标题：武大师生为新冠肺炎牺牲烈士和逝世同胞默哀 刚刚，在#武汉大学云毕业典礼#上，师生一同为新冠肺炎牺牲烈士和逝世同胞默哀。 责任编辑：柳龙龙 
