北京近两日有25例确诊病例来自集中隔离点|2020年06月28日 23:01|原标题：北京近两日有25例确诊病例来自集中隔离点 责任编辑：吴金明 
福建新增2例新冠确诊病例：均为福州报告俄罗斯输入|2020年06月28日 09:58|原标题：福建新增2例新冠确诊病例：均为福州报告俄罗斯输入 一、境外输入疫情 6月27日0-24时，福建省报告新增境外输入确诊病例0例。 当日报告新增境外输入疑似病例0例。 当日报告新增境外输入无症状感染者2例，为俄罗斯输入（福州市报告）。 截至6月27日24时，福建省累计报告境外输入确诊病例67例，已治愈出院62例，目前住院5例（其中重症1例），无死亡病例；现有报告境外输入疑似病例0例；现有报告境外输入无症状感染者尚在接受集中隔离医学观察3例。 二、本地疫情 6月27日0-24时，福建省报告新增本地确诊病例0例。 当日报告新增本地疑似病例0例。 当日报告新增本地无症状感染者0例。 截至6月27日24时，福建省累计报告本地确诊病例296例（已治愈出院295例、目前住院0例、死亡1例），其中：福州市72例、厦门市35例、漳州市20例、泉州市47例、三明市14例、莆田市56例、南平市20例、龙岩市6例、宁德市26例；现有报告本地疑似病例0例；现有报告本地无症状感染者尚在接受集中隔离医学观察0例。 三、密切接触者 目前密切接触者已解除医学观察14726人，尚有82人正在接受医学观察。 来源：福建省卫健委官网 责任编辑：朱学森 
6月27日福建新增境外输入无症状感染者2例|2020年06月28日 09:26|原标题：福建省新型冠状病毒肺炎疫情情况 来源：福建省卫健委 一、境外输入疫情 6月27日0—24时，福建省报告新增境外输入确诊病例0例。 当日报告新增境外输入疑似病例0例。 当日报告新增境外输入无症状感染者2例，为俄罗斯输入（福州市报告）。 截至6月27日24时，福建省累计报告境外输入确诊病例67例，已治愈出院62例，目前住院5例（其中重症1例），无死亡病例；现有报告境外输入疑似病例0例；现有报告境外输入无症状感染者尚在接受集中隔离医学观察3例。 二、本地疫情 6月27日0—24时，福建省报告新增本地确诊病例0例。 当日报告新增本地疑似病例0例。 当日报告新增本地无症状感染者0例。 截至6月27日24时，福建省累计报告本地确诊病例296例（已治愈出院295例、目前住院0例、死亡1例），其中：福州市72例、厦门市35例、漳州市20例、泉州市47例、三明市14例、莆田市56例、南平市20例、龙岩市6例、宁德市26例；现有报告本地疑似病例0例；现有报告本地无症状感染者尚在接受集中隔离医学观察0例。 三、密切接触者 目前密切接触者已解除医学观察14726人，尚有82人正在接受医学观察。 责任编辑：张迪 
北京17天累计报告本地确诊病例311例|2020年06月28日 09:03|原标题：北京17天累计报告本地确诊病例311例 新京报讯（记者 戴轩）6月27日0时至24时，北京新增报告本地确诊病例14例、疑似病例1例、无症状感染者3例；无新增报告境外输入确诊病例、疑似病例、无症状感染者。 6月11日0时至6月27日24时，累计报告本地确诊病例311例，在院311例。 尚在观察的无症状感染者26例；无新增报告境外输入新冠肺炎确诊病例、疑似病例和无症状感染者。 新增确诊病例中，丰台区10例、大兴区4例。 北京有14个区无本地报告新增确诊病例，具体为平谷区自有疫情以来无报告病例、延庆区156天、怀柔区142天、顺义区140天、密云区137天、石景山区13天、门头沟区12天、房山区12天、东城区11天、通州区7天、朝阳区6天、西城区5天、海淀区2天、昌平区2天。 新京报记者 戴轩 责任编辑：杨杰 
新增14例确诊，北京现有病例超过300|2020年06月28日 08:40|原标题：新增14例确诊，北京现有病例超过300 责任编辑：杨杰 
北京新增14例确诊病例 17天内新增确诊311例|2020年06月28日 08:31|原标题：北京17天内新增311例确诊北京新增14例确诊 6月27日0时至24时，北京新增报告本地确诊病例14例、疑似病例1例、无症状感染者3例；无新增报告境外输入确诊病例、疑似病例、无症状感染者。新增确诊病例中，丰台区10例、大兴区4例。（总台央视记者 牟媞媞） 责任编辑：张迪 
北京27日新增14例确诊病例 其中丰台区10例大兴区4例|2020年06月28日 08:31|原标题：北京昨日新增报告14例新冠肺炎确诊病例 来源：首都健康 6月27日0时至24时，新增报告本地确诊病例14例、疑似病例1例、无症状感染者3例；无新增报告境外输入确诊病例、疑似病例、无症状感染者。 6月11日0时至6月27日24时，累计报告本地确诊病例311例，在院311例。尚在观察的无症状感染者26例；无新增报告境外输入新冠肺炎确诊病例、疑似病例和无症状感染者。 新增确诊病例中，丰台区10例、大兴区4例。 全市有14个区无本地报告新增确诊病例，具体为平谷区自有疫情以来无报告病例、延庆区156天、怀柔区142天、顺义区140天、密云区137天、石景山区13天、门头沟区12天、房山区12天、东城区11天、通州区7天、朝阳区6天、西城区5天、海淀区2天、昌平区2天。 责任编辑：张迪 
甘肃新增1例境外输入确诊病例，来自莫斯科|2020年06月28日 08:27|原标题：甘肃新增1例境外输入确诊病例，来自莫斯科 据甘肃省卫健委昨晚通报： 此外，6月15日沙特利雅得-兰州MU7792次航班253名入境人员中，无新增确诊病例。目前，该航班累计确诊病例19人，已陆续有3人治愈出院并转入集中隔离点继续医学观察。现在省级定点医院住院隔离治疗16人，在省级定点医院隔离留观密切接触者1人，在集中隔离点隔离观察236人。 6月23日沙特吉达-兰州MU7790次航班254名入境人员中，无新增确诊病例。目前，该航班累计确诊病例4人，均在省级定点医院住院隔离治疗。在省级定点医院隔离留观1人，在集中隔离点隔离观察249人。 上述所有入境人员均在闭环管理中。 截至6月27日20时，甘肃累计报告境外输入新冠肺炎确诊病例71例，累计治愈出院50例。目前在省级定点医院隔离治疗21人；在省级定点医院隔离留观2人；在集中隔离点隔离观察764人。 病例24，男，24岁。入境核酸检测阳性，咽部不适伴乏力1天，胸部CT未见明显异常。经省级专家组会诊后诊断为新冠肺炎确诊病例，轻型。现在省级定点医院隔离治疗。 来源：甘肃省卫健委 责任编辑：杨杰 
31省区市新增确诊17例 其中本土病例14例均在北京|2020年06月28日 08:14|原标题：截至6月27日24时新型冠状病毒肺炎疫情最新情况 6月27日0—24时，31个省（自治区、直辖市）和新疆生产建设兵团报告新增确诊病例17例，其中境外输入病例3例（上海1例，陕西1例，甘肃1例），本土病例14例（均在北京）；无新增死亡病例；新增疑似病例1例，为本土病例（在北京）。 当日新增治愈出院病例7例，解除医学观察的密切接触者692人，重症病例与前一日持平。 境外输入现有确诊病例86例（其中重症病例1例），现有疑似病例1例。累计确诊病例1902例，累计治愈出院病例1816例，无死亡病例。 截至6月27日24时，据31个省（自治区、直辖市）和新疆生产建设兵团报告，现有确诊病例415例（其中重症病例8例），累计治愈出院病例78451例，累计死亡病例4634例，累计报告确诊病例83500例，现有疑似病例8例。累计追踪到密切接触者761721人，尚在医学观察的密切接触者7445人。 31个省（自治区、直辖市）和新疆生产建设兵团报告新增无症状感染者7例（境外输入4例）；当日转为确诊病例2例（无境外输入）；当日解除医学观察5例（境外输入2例）；尚在医学观察无症状感染者106例（境外输入66例）。 累计收到港澳台地区通报确诊病例1690例。其中，香港特别行政区1197例（出院1095例，死亡7例），澳门特别行政区46例（出院45例），台湾地区447例（出院435例，死亡7例）。 责任编辑：张迪 
北京商超战“疫”保供背后的供应链大考和比拼|2020年06月28日 08:02|原标题：北京商超战“疫”保供背后的供应链大考和比拼 北京新冠肺炎疫情牵动人心。随着新发地市场6月13日凌晨3时按下“暂停键”，围绕蔬果、肉类、水产等民生物资保供战在北京各大连锁商超持续进行。 “当时我们的精神马上就紧绷起来了，最直接的感觉就是怕货源紧张，联系各个产区调货，手机都快打爆了，差不多48小时没合眼。”提起6月12日当天连夜调货的场景，家乐福华北区采购负责人史国清紧张又兴奋。 与此同时，永辉则在北京大兴区彩食鲜工厂搭建起一个临时配送中心。永辉超市二战区营运蔬菜合伙人尚俊杰在这里待了整整一周，为的是保障货品的正常接收和配送。 民生物资保供保价中，采购是最重要的一环，考验的是各大商超的供应链能力。永辉、家乐福、超市发等各大连锁商超开启“拼命”模式，紧急应对不慌张，铆足了劲儿保障货架充足，迅速实现补位。 “因为经历过春节期间的那波疫情，我们得提前做好准备，应对可能会出现的货源紧张。”6月12日，当家乐福华北区采购负责人史国清听到有确诊病例近期曾到过新发地牛羊肉交易大厅的消息后，她的神经紧绷了起来。 意识到北京周边基地可能要货源紧张，他们就需要一个基地一个基地去协调提前订购。“像土豆，我们立马打电话从玉田订了16亩的土豆，正常七八个小时才能干完的活，快马加鞭压缩到4个小时，保证能按时到达配送中心。” 事实证明，提前从基地调货是一个颇为明智的做法。6月12日下午，新发地牛羊肉大厅、京深海鲜市场关闭；6月13日凌晨3时起，新发地市场宣布暂时休市，这也意味着以新发地为主要货源地的一些菜市场、社区超市等将面临采购困难，可能出现断货甚至没货的情况。 距新发地50公里外的多个蔬菜产区，是家乐福蔬菜直采的主要来源。史国清和另外两个采购提前下手抢占货源，不仅是北京周边，还包括从河南、河北、海南等地，加紧调货，以保障门店供应。 与春节期间的采购工作不同，这一次，史国清觉得更难了。“新发地休市，北京蔬菜供应会很紧张。我们团队3个人就凭各自一部手机，不停地给全国各个产区打电话调运，充电宝不离手，48小时基本没合眼”。 新京报记者了解到，自6月12日起，家乐福加大北京周边基地直采，北京门店日供新鲜蔬菜百余吨，是平时供应量的2-3倍。以6月13日为例，当天产地直采蔬菜到货大约100吨。 在家乐福采购忙着调货的时候，永辉超市二战区营运蔬菜合伙人尚俊杰也接到了通知。由于永辉原有的物流配送中心距新发地距离不远，而新发地处于高风险区域，为避免物流车接近该区域会受到影响，6月12日，公司决定到大兴的彩食鲜工厂搭建一个临时物流中心。 平时负责门店营运的尚俊杰此时干起了临时工，和彩食鲜的工作人员一起搭棚子、装大灯，忙活一下午，临时物流中心建成了。“我们采购第一时间给邻近河南的采购团队打电话寻求帮助，调拨所有资源到北京，满足北京市场的供应。”于是，200多辆物流车一辆接一辆给北京市场送货。 由于公司原本的采购和司机都在进行核酸检测，无法赶到配送中心协调，只好临时从各个门店抽调20个人到配送点帮忙。这些并不懂采购的人既要指挥车辆还要分拣，从当天下午5时到第二天中午一共分拣了800多吨，许多员工累得干不动了，饭也顾不上吃。 随着门店订单量暴增，为了保证不缺货，永辉超市将原本两三百吨的蔬菜日供应量增至2000多吨。“连续作战48小时之后，采购、司机全部到位，第三天基本恢复正常。”尚俊杰告诉新京报记者，北京市场原有的供应链也很快步入正轨，随后几天，采购们主要在物流中心检测农产品，包含货品来源、农药残留等项目，“我们就在物流中心住了一周。” 永辉超市北京市场负责人黄晓晨介绍，为保证市场供应，6月15日，从全国紧急调配3000吨果蔬进京，这个供应量是平时的6倍，此后的消费渐趋平稳，保持每天蔬菜到货400余吨，供应充足。 值得注意的是，为满足线上订单需求，负责线上供货的彩食鲜工厂也临时增派了近50名工作人员负责分拣包装，增派人数占到平日员工的三分之二。在物流环节，原本彩食鲜每天一次配送至门店，疫情期间则调整为两次，且24小时全时段可接受配送。 此轮疫情，对零售企业而言，是一场供应链的大考，能迅速调动资源保障供应意味着占领市场。 有不愿具名的线上生鲜从业者告诉新京报记者，北京疫情期间线上订单量明显提升，但自己所在的线上平台，因为部分货源是新发地，出现了货源短缺情况。而像家乐福、永辉、超市发、盒马、沃尔玛、物美等连锁商超，则可以发挥基地直采、各区域采购协同作战的优势，货源稳定，能有效保障居民生活供应。 新京报记者了解到，北京超市发、家乐福、永辉、物美等销售的海鲜、肉制品均由长期合作的品牌商家及供应商提供，比如超市发、家乐福的牛肉都来自月盛斋、猪肉来自肉联厂，无外部零售市场零散货源，商品经由供应商统一送至公司配送中心。 在生鲜蔬果的直采方面，家乐福华北区采购负责人史国清说，公司长期开展扶贫助农、助销农产品，与河北、山西、河南等周边的基地建立了合作关系，货源相对充足，每个品类会有两三个甚至三四个货源地，这在一定程度上避免因某个货源不足带来的供应不稳定问题，也能在一定程度上保证价格稳定。 永辉超市在全国各大产区的供应链优势也凸显出来。据尚俊杰介绍，此次北京疫情采购也有压力，但远没有春节期间的采购压力大，因为“永辉把全国的资源调到北京是轻而易举，不仅量不缺，价格也没涨”。 沃尔玛山姆会员店也是如此。沃尔玛方面称，沃尔玛山姆会员店蔬菜采用直采模式，全国有近30个加工厂，即使北京地区会员的蔬菜购买需求突然增加，山姆也可从其他城市的加工厂空运和陆运蔬菜，保证供应。 永辉超市相关负责人告诉新京报记者，供应链、源头直采、产地直发是核心优势，蔬菜水果均为直采，检疫检测合格。北京此轮疫情发生后，公司24小时内紧急召开全国供应链保供会议，平台、各战区联动，与产地紧急加倍调配蔬果货源，加大外围供给及周边省份驰援。 盒马则调动了阿里巴巴集团自家的“菜园子”。6月17日，盒马北京门店开了内部紧急会，调动“菜园子”阿里巴巴上百家数字农业基地，协同上千家果蔬供应商，将进货量提升日常5倍以上，从上海、山东、河北等装运食材，冷链直通车驰援北京，确保线上线下安全、新鲜、丰富的果蔬供应充足。 直采也有助于企业保证商品价格稳定。北京市连锁经营协会倡议连锁企业携手“保安全、保供应、保质量、稳物价”后，截至6月16日，北京已有27家主要超市、便利店响应倡议，稳定蔬菜等生活必需品价格。其中，沃尔玛、永辉、超市发、家乐福等陆续锁定了日常10种蔬菜的价格，保证1个月不变价。 可以说，新发地批发市场暂时休市后，商超产地直供、社区蔬菜直通车等多个渠道的供应，迅速补充了市场供应。 来自北京市商务局二级巡视员王洪存6月24日北京市疫情防控发布会上的介绍，北京市蔬菜供应形势继续向好，7家重点批发市场上市量不断增加，连续3日稳定在1.3万吨以上；8家大型连锁超市继续加快调货，蔬菜库存和供应十分充足。王洪存表示将继续加强市场监测，及时掌握供应、价格信息，确保出现缺断货及时补货，保障市场供应和价格平稳；加大货源组织，继续发挥周边多省保供机制作用。 新京报记者 张晓荣 责任编辑：朱学森 
6月27日山东省报告美国输入无症状感染者1例|2020年06月28日 08:00|原标题：2020年6月27日0时至24时山东省新型冠状病毒肺炎疫情情况 来源：健康山东 2020年6月27日0时至24时： 山东无本地住院疑似病例、确诊病例。累计报告确诊病例763例，死亡7例，治愈出院756例。 山东无新增境外输入疑似病例、确诊病例。累计报告境外输入确诊病例29例，治愈出院29例。 青岛市报告美国输入无症状感染者1例。正在隔离观察治疗的无症状感染者2例（境外输入）。 目前共追踪到密切接触者22165人，尚有8人正在接受医学观察。 详见下表（单位：例）： 责任编辑：张迪 
6月28日内蒙古自治区报告无新增确诊病例、疑似病例|2020年06月28日 07:30|原标题：6月28日内蒙古自治区报告无新增确诊病例、疑似病例 2020年6月27日7时至6月28日7时，内蒙古自治区报告无新增确诊病例、疑似病例。 截至2020年6月28日7时，内蒙古自治区累计报告境外输入确诊病例161例（俄罗斯108例、英国23例、法国19例、美国4例、西班牙2例、瑞典2例、奥地利1例、捷克1例、葡萄牙1例），治愈出院160例。现有境外输入确诊病例1例。 截至2020年6月27日24时，内蒙古自治区报告无症状感染者0例。 以上患者均在定点医院隔离治疗，所有密切接触者均在指定场所进行集中隔离医学观察，全程实行闭环管理，严防疫情扩散蔓延。 自治区党委、政府高度重视本土和输入性疫情防控工作以及无症状感染者的相关情况，严格按照国家疫情防控要求，认真落实各项防控措施。 责任编辑：杨杰 
297例！北京确诊病例最新情况汇总，一图了解|2020年06月28日 07:23|原标题：297例！北京确诊病例最新情况汇总，一图了解→ 6月11日至6月26日 北京累计确诊病例297例 这些病例分布在哪里？ 北京目前有哪些中高风险地区？ 一图读懂↓↓↓ 责任编辑：杨杰 
转扩！北京16天新增297例都去过哪？|2020年06月28日 07:22|原标题：转扩！北京16天新增297例都去过哪？ 6月11日以来，北京市累计新增297例本土确诊病例。他们都是谁？去过哪？防控不松懈，重视不恐慌！戳图了解 责任编辑：杨杰 
6月28日北京疫情早报|2020年06月28日 07:13|原标题：一图速览│6月28日北京疫情早报 夏季蚊蝇增多，蚊蝇是否会传播新冠病毒？接触快递会被感染吗？出现发热干咳该怎么办？一图速览最新疫情信息。 责任编辑：杨杰 
云南6月27日无新增确诊病例和无症状感染者|2020年06月28日 07:07|原标题：云南6月27日无新增确诊病例和无症状感染者 据云南省卫生健康委员会通报，6月27日0时至24时，无新增确诊病例和无症状感染者。截至6月27日24时，累计境外输入确诊病例11例，全部治愈出院。 责任编辑：朱学森 
美媒：中国为何在小岛国复设使馆|2020年06月28日 01:56|原标题：美媒：中国为何在小岛国复设使馆 基里巴斯是北京在太平洋地区影响力不断增强的最新例证。该地区由一连串资源丰富的岛屿组成，控制着亚洲和美洲之间的重要水道。长期以来，这些风景如画的岛屿与拥有大量驻军的美国及该地区最大捐助国和安全伙伴澳大利亚等盟友保持一致。但近年来，由于北京的外交和经济拓展，许多人与中国结成更紧密关系，这也加剧地缘政治紧张。 如今，随着堪培拉和北京对该地区倾力援助，太平洋岛国和澳大利亚之间可能出现的旅行安排给这种竞争带来新维度。根据澳大利亚智库洛伊研究所的数据，中国目前是该地区第二大捐助国，仅次于澳大利亚。 对太平洋岛国来说，中国在新冠疫情期间一直是至关重要的合作伙伴。中国卫生专家同10个与北京有外交关系的太平洋岛国的同行举行视频会议，就如何防治新冠病毒提出建议。中国还援助了医疗用品、防护装备和检测包，并派出医疗队帮助当地卫生部门起草如何控制疫情的方针。洛伊研究所太平洋岛屿项目主任乔纳森·普莱克称，目前中国在太平洋地区正努力获得尽可能多的影响力。 不过，与澳大利亚提供的资金支持相比，中国对太平洋地区的疫情援助不算多。上月，堪培拉表示将拿出1亿澳元向该地区10个国家提供快速财政支持；还宣布将澳国内的热门电视节目提供给7个太平洋岛国——此举被广泛认为是对抗中国不断上升的影响力而进行的软实力推动。澳政府明确承认，不能有任何制造真空的空间，无论硬实力、软实力、援助还是医疗方面。他们不能从任何真空中退缩，因为担心中国可能会填补。（作者Nectar Gan，陈俊安译） 责任编辑：吴金明 
