2020年美国大选的五大看点|2020年11月03日 23:36|看点4：美国新冠病例直逼1000万例 责任编辑：贾楠 SN245 
呼和浩特：发现一名与河南濮阳新冠感染者密接人员|2020年11月03日 11:04|原标题：呼和浩特发公告急寻相关密接：曾与河南濮阳无症状感染者张某有过接触 人民日报记者张枨消息，11月3日，内蒙古自治区呼和浩特市应对新型冠状病毒感染肺炎疫情防控工作指挥部对外发布公告，2020年11月2日，呼和浩特市疾控中心接内蒙古自治区疾控转天津疾控中心协查函：河南省濮阳市无症状感染者张某的一名密切接触者在呼和浩特市。具体信息如下： 邵某，男，在天津西站排队验票时与河南濮阳无症状感染者张某有过接触。邵某10月26日晚从石家庄乘K600次列车（9号车厢8号上铺）于10月27日早7点21分到达呼和浩特市火车西站，7点37分在国贸站乘1路公交车（车号2-473号）于7点56分在通达南站下车，随后拼乘私家车（车牌号蒙A8X681，包括司机共计4人，邵某现金付款）于9点09分在阜丰生物科技公司门口（阜丰家园）下车。 在此提醒广大市民，如有人在上述时间段与该密切接触者有同行、交谈、照面等情况，请立即与辖区疾控中心联系（名单附后）。 请广大群众看到公告后相互转告，提示相关人员尽快联系辖区疾控中心。如果隐瞒不报，一旦造成后果，将依法追究相应人员责任。 疾控中心联系电话： 呼和浩特市疾病预防控制中心 0471-6627113 新城区疾病预防控制中心 0471-6901455 回民区疾病预防控制中心 0471-6306994 玉泉区疾病预防控制中心 0471-5973029 赛罕区疾病预防控制中心 0471-6680742 土左旗疾病预防控制中心 0471-3188885 托县疾病预防控制中心 0471-8528589 和林县疾病预防控制中心 0471-7191244 清水河县疾病预防控制中心 0471-7912822 责任编辑：贾楠 SN245 
24岁男子3个月后复阳！曾到此地参加婚礼|2020年11月03日 09:32|李某某，男，24岁，卫辉市人。2020年7月24日该男子从俄罗斯入境呼和浩特市，入境后当天核酸检测阳性，在呼和浩特第四人民医院隔离治疗。8月9日核酸检测为阴性。后按照当地防控部门要求，转到呼和浩特第二人民医院，继续隔离观察两周。隔离期满后，8月22日、23日两次复查核酸检测均为阴性。后再转到当地隔离点继续隔离观察两周，期满后9月8日、9日再次复查核酸检测均为阴性，9月9日解除隔离。9月10日返回河南卫辉朝阳花园家中，自行在家隔离2周。9月23日解除隔离。 10月25日，到卫辉市上乐村镇曲律村老家居住。 10月27日，前往新乡市新乡县七里营镇刘八庄村参加姐姐婚礼。当天返回河南卫辉朝阳花园。 10月30日，李某某因外出工作需要，前往新乡医学院第一附属医院进行检测。11月2日凌晨最终检测结果为阳性，卫辉市及时与新乡市有关部门联系汇报，立即启动应急预案。 专家组综合流行病学史、临床表现及实验室检测结果，判定为无症状感染者复阳人员。李某某现在卫辉市人民医院进行隔离医学观察，状态稳定。目前已追踪到的密切接触者已全部实行集中隔离医学观察并进行核酸检测，其中已采样的51份密切接触者样本均为阴性，环境检测为阴性，涉及的车辆和场所等已全部进行消毒。 疫情暴发以来，复阳患者屡见不鲜，此前也有相关病例曝出。 北京大学第一医院感染疾病科主任，国务院联防联控机制医疗救治专家组成员、科技攻关专家组成员王贵强曾解释复阳患者的出现，有三种可能： 新冠病毒有一个特点，就是它的病毒持续时间比较长。所以有时候可能是从肺里面恢复期以后，通过卡痰等等又排出来了。也就是说，这样的病人，其实他的病毒没有真正消失，只是说上呼吸道咽拭子鼻咽拭子查不到，但是下呼吸道在肺里面还是有病毒的。 对于复阳，可能是检测的敏感性还不够强，所以现在科技部在支持提高敏感性的检测方法的研发。检测敏感性不强的情况下，低病毒载量时上呼吸道标本就可能查不到。 个别病人由于免疫功能比较低下，导致持续的阳性或复阳。持续阳性的病例尽管不是很多，但值得高度关注。 出现复阳患者，该如何防护？ 王贵强认为，第一要隔离。因为他还是有传染性风险，尽管现在传染性可能是低一些，但是不能说他没传染性，要按照有传染性来进行隔离。 钟南山说，所谓“复阳”，大多数应是核酸的片段而不是病毒本身，需要注意两种情况： 患者本人是不是复发，假如患者产生很强的抗体，一般不会再感染。至于复阳患者会不会传染给别人，则需要具体分析，一般来说核酸片段没有传染性。一些学者曾经对“复阳”患者的咽拭子及分泌物进行培养，没有培养出病毒。 病人原本就有很多基础病，只不过症状改善了，并没有完全康复，这些病人不能排除有传染性。 那么，复阳病人的密切接触者，会不会被感染？ 钟南山的答案是，“到现在为止，我所收集到的资料，好像基本没看见，我们要看事实。” 再次特别提醒市民朋友，如非必要 尽量避免前往有疫情的国家或地区，坚持科学佩戴口罩，勤洗手、常通风、不聚集。 责任编辑：贾楠 SN245 
河北11月2日新增1例境外输入无症状感染者|2020年11月03日 09:27|原标题：河北2日新增1例境外输入无症状感染者 河北卫健委网站11月3日通报，2020年11月2日0-24时，河北省无新增报告新型冠状病毒肺炎确诊病例，无新增死亡病例，无新增疑似病例，治愈出院1例（境外输入）。 11月2日0-24时，河北省新增报告1例境外输入无症状感染者。 截至11月2日24时，河北省现有确诊病例7例（境外输入），累计治愈出院病例360例（含境外输入27例），累计死亡病例6例，累计报告本地确诊病例339例、境外输入病例34例。尚在医学观察无症状感染者17例（境外输入）。 责任编辑：赖柳华 SN244 
成都通报昨日新增境外输入“8+10”病例详情|2020年11月03日 09:24|原标题：成都通报新增境外输入“8+10”病例详情，其中10人为巴基斯坦籍乘坐同一航班入境 成都卫健委11月3日通报，11月2日，成都市新增8例境外输入新冠肺炎确诊病例，其中3例系昨日通报的无症状感染者订正，新增出院2人。新增境外输入无症状感染者10人，3名境外输入无症状感染者解除集中隔离。 截至11月2日24时，成都市累计报告确诊病例357例（其中境外输入212例），累计出院316人，死亡3人，其余38例境外输入确诊病例正在定点医院隔离治疗。全市现有84例境外输入无症状感染者正在接受集中隔离医学观察。现有 1377 名密切接触者正在接受集中隔离医学观察。 患者1：男，39岁，巴基斯坦籍。从巴基斯坦乘PK8552次航班于10月30日抵蓉。入境后即被集中隔离。11月2日因新冠病毒核酸检测阳性，胸部CT检查结果异常，诊断为确诊病例，已转送至定点医院隔离治疗。 患者2：男，30岁，巴基斯坦籍。从巴基斯坦乘PK8552次航班于10月30日抵蓉。入境后即被集中隔离。11月1日因新冠病毒核酸检测阳性，诊断为无症状感染者，转送至定点医院隔离治疗。11月2日因胸部CT检查结果异常，订正为确诊病例。 患者3：男，52岁，巴基斯坦籍。从巴基斯坦乘PK8552次航班于10月30日抵蓉。入境后即被集中隔离。11月1日因新冠病毒核酸检测阳性，诊断为无症状感染者，转送至定点医院隔离治疗。11月2日因胸部CT检查结果异常，订正为确诊病例。 患者4：男，33岁，巴基斯坦籍。从巴基斯坦乘PK8552次航班于10月30日抵蓉。入境后即被集中隔离。11月1日因新冠病毒核酸检测阳性，诊断为无症状感染者，转送至定点医院隔离治疗。11月2日因胸部CT检查结果异常，订正为确诊病例。 患者5：男，41岁，尼泊尔籍。从尼泊尔乘CA438次航班于11月1日抵蓉。入境后即被集中隔离。11月2日因咳嗽、乏力，新冠病毒核酸检测阳性，诊断为确诊病例，转送至定点医院隔离治疗。 患者6：男，54岁，中国籍。从加拿大乘3U8502次航班于11月1日抵蓉。入境后即被集中隔离。11月2日因新冠病毒核酸检测阳性，胸部CT检查结果异常，诊断为确诊病例，转送至定点医院隔离治疗。 患者7：男，21岁，中国籍。从加拿大乘3U8502次航班于11月1日抵蓉。入境后即被集中隔离。11月2日因新冠病毒核酸检测阳性，胸部CT检查结果异常，诊断为确诊病例，转送至定点医院隔离治疗。 患者8：男，20岁，中国籍。从加拿大乘3U8502次航班于11月1日抵蓉。入境后即被集中隔离。11月2日因新冠病毒核酸检测阳性，胸部CT检查结果异常，诊断为确诊病例，已转送至定点医院隔离治疗。 无症状感染者1：男，26岁，巴基斯坦籍。从巴基斯坦乘PK8552次航班于10月30日抵蓉。入境后即被集中隔离。11月2日因新冠病毒核酸检测阳性，诊断为无症状感染者，已转送至定点医院隔离治疗。 无症状感染者2：男，31岁，巴基斯坦籍。从巴基斯坦乘PK8552次航班于10月30日抵蓉。入境后即被集中隔离。11月2日因新冠病毒核酸检测阳性，诊断为无症状感染者，已转送至定点医院隔离治疗。 无症状感染者3：男，16岁，巴基斯坦籍。从巴基斯坦乘PK8552次航班于10月30日抵蓉。入境后即被集中隔离。11月2日因新冠病毒核酸检测阳性，诊断为无症状感染者，已转送至定点医院隔离治疗。 无症状感染者4：男，31岁，巴基斯坦籍。从巴基斯坦乘PK8552次航班于10月30日抵蓉。入境后即被集中隔离。11月2日因新冠病毒核酸检测阳性，诊断为无症状感染者，已转送至定点医院隔离治疗。 无症状感染者5：男，26岁，巴基斯坦籍。从巴基斯坦乘PK8552次航班于10月30日抵蓉。入境后即被集中隔离。11月2日因新冠病毒核酸检测阳性，诊断为无症状感染者，已转送至定点医院隔离治疗。 无症状感染者6：男，36岁，巴基斯坦籍。从巴基斯坦乘PK8552次航班于10月30日抵蓉。入境后即被集中隔离。11月2日因新冠病毒核酸检测阳性，诊断为无症状感染者，已转送至定点医院隔离治疗。 无症状感染者7：男，26岁，中国籍。从菲律宾出发，经缅甸乘UB803次航班于10月19日抵蓉。入境后即被集中隔离。11月2日因新冠病毒核酸检测阳性，诊断为无症状感染者，现已转送至定点医院隔离治疗。 无症状感染者8：男，33岁，中国籍。从菲律宾出发，经缅甸乘UB803次航班于10月19日抵蓉。入境后即被集中隔离。11月2日因新冠病毒核酸检测阳性，诊断为无症状感染者，现已转送至定点医院隔离治疗。 无症状感染者9：女，36岁，中国籍。从阿联酋出发，经埃及乘3U8392次航班于10月31日抵蓉。入境后即被集中隔离。11月2日因新冠病毒核酸检测阳性，诊断为无症状感染者，现已转送至定点医院隔离治疗。 无症状感染者10：男，47岁，中国籍。从尼泊尔乘CA438次航班于11月1日抵蓉。入境后即被集中隔离。11月2日因新冠病毒核酸检测阳性，诊断为无症状感染者，已转送至定点医院隔离治疗。 上述确诊患者及无症状感染者居住的隔离点环境已进行消毒，密接人员均处于隔离观察状态，核酸检测均为阴性。 2名新冠肺炎确诊患者经收治医院全力救治，符合国家《新型冠状病毒肺炎诊疗方案》（试行第八版）解除隔离标准，治愈出院。现已转入集中隔离点继续接受14天医学观察及随访。 患者1：男，33岁，10月21日被诊断为新冠肺炎确诊病例，转入定点医院。 患者2：男，48岁，9月28日被诊断为新冠肺炎确诊病例，转入定点医院。 责任编辑：赖柳华 SN244 
公派留学人员年底前因疫情无法按期成行 可延期一年|2020年11月03日 09:13|原标题：公派留学年底前因疫情无法按期成行，可延期一年 国家留学基金委近日发布通知，对于2020年12月31日前，因疫情原因无法按期派出的国家公派出国留学人员可于明年12月31日前派出，须持相关邀请信按规定办理手续。 通知提到，相关人员可于2021年12月31日前派出，派出前应凭国外留学单位载明新派出日期的邀请信，按《国家公派出国留学人员派出前管理办法（试行）》规定，办理延长资格有效期手续后派出。现阶段无需按《办法》要求在资格有效期内办理延长资格有效期手续。 有关公派出国留学项目有特殊规定的，按项目要求办理。 通知还提到，以上规定不适用于被取消资格人员。 责任编辑：赖柳华 SN244 
福建11月2日新增境外输入确诊病例4例|2020年11月03日 09:06|原标题：福建2日新增确诊病例4例，其中乌干达输入3例、阿联酋输入1例 福建卫健委网站11月3日通报： 一、境外输入疫情 11月2日0-24时，福建省报告新增境外输入确诊病例4例，其中乌干达输入3例、阿联酋输入1例（均为厦门市报告）。 当日报告新增境外输入疑似病例0例。 当日报告新增境外输入无症状感染者0例。 截至11月2日24时，福建省累计报告境外输入确诊病例145例，已治愈出院117例，目前住院28例，无死亡病例；现有报告境外输入疑似病例0例；现有报告境外输入无症状感染者尚在接受集中隔离医学观察26例。 二、本地疫情 11月2日0-24时，福建省报告新增本地确诊病例0例。 当日报告新增本地疑似病例0例。 当日报告新增本地无症状感染者0例。 截至11月2日24时，福建省累计报告本地确诊病例296例（已治愈出院295例、目前住院0例、死亡1例），其中：福州市72例、厦门市35例、漳州市20例、泉州市47例、三明市14例、莆田市56例、南平市20例、龙岩市6例、宁德市26例；现有报告本地疑似病例0例；现有报告本地无症状感染者尚在接受集中隔离医学观察0例。 三、密切接触者 目前密切接触者已解除医学观察19531人，尚有484人正在接受医学观察。 责任编辑：赖柳华 SN244 
湖南11月2日新增境外输入无症状感染者4例|2020年11月03日 09:04|原标题：湖南2日新增境外输入无症状感染者4例 湖南卫健委网站11月3日通报，2020年11月2日0-24时，湖南省报告新增新型冠状病毒肺炎确诊病例0例。 截至11月2日24时，湖南省累计报告新型冠状病毒肺炎确诊病例1020例，死亡病例4例，出院病例1015例。 2020年11月2日0-24时，湖南省当日新增新型冠状病毒肺炎无症状感染者4例（均为境外输入），当日解除隔离0例，尚在医学观察15例（均为境外输入）。 目前追踪到密切接触者28537人，已解除医学观察27897人，尚在接受医学观察640人。 责任编辑：赖柳华 SN244 
11月2日浙江新增新冠肺炎确诊病例1例，系伊拉克输入|2020年11月03日 09:03|原标题：2020年11月3日浙江省新型冠状病毒肺炎疫情情况 来源：健康浙江 11月2日0-24时，新增确诊病例1例（伊拉克输入），已排查密切接触者均已实施集中隔离。截至2日24时，累计报告确诊病例1287例（境外输入病例68例）。 责任编辑：贾楠 SN245 
湖北2日新增境外输入确诊病例4例、无症状感染者19例|2020年11月03日 08:57|原标题：湖北2日新增境外输入确诊病例4例、无症状感染者19例，均来自印度 湖北卫健委网站11月3日通报，2020年11月2日0-24时，全省新增新冠肺炎确诊病例4例（均为境外输入，来自印度新德里-武汉AI1314航班，已转至定点医疗机构救治），新增疑似病例0例，新增出院病例0例，新增死亡病例0例。 2020年11月2日0—24时，全省新增无症状感染者19例（均为境外输入，来自印度新德里—武汉AI1314航班，其中IgG阳性6例，考虑为既往感染），均已实施集中隔离医学观察；集中隔离医学观察的密切接触者254例（均为印度新德里-武汉AI1314航班确诊病例和无症状感染者的密切接触者）。 截至2020年11月2日24时，全省现有确诊病例4例，现有疑似病例0例。累计治愈出院63627例，累计病亡4512例，全省累计报告新冠肺炎确诊病例68143例。 责任编辑：赖柳华 SN244 
11月2日江苏新增境外输入新冠肺炎确诊病例1例|2020年11月03日 08:41|原标题：11月2日江苏新增境外输入新冠肺炎确诊病例1例 来源：健康江苏 11月2日0-24时，江苏新增1例确诊病例（为巴西输入，在南京市定点医院隔离治疗）。截至11月2日24时，全省累计报告确诊病例674例（其中境外输入43例），除8例境外输入确诊病例在定点医院隔离治疗外，其余均已出院。 当日新增境外输入无症状感染者1例。截至11月2日24时，正在集中隔离和医学管理的无症状感染者35例，均为境外输入。 目前，全省追踪到确诊病例和无症状感染者的密切接触者16338人，已解除医学观察15886人，尚有452人正在接受医学观察。 最新疫情风险等级提醒 11月2日，全国有4个乡镇为高风险地区，1个县区为中风险地区，均涉及新疆喀什地区： 高风险地区： 新疆喀什地区（4个）：疏附县站敏乡、托克扎克镇、吾库萨克镇、萨依巴格乡； 中风险地区： 新疆喀什地区（1个）：疏附县（除高风险地区外的其他乡镇）。 境外（除澳门为低风险外）仍全部为高风险地区。 专家提醒： 每个人是自己健康的第一责任人。秋冬季是常见呼吸道传染病高发季节，防控形势更加严峻，需警惕流感和新冠肺炎叠加的流行风险，做到多病共防，紧绷疫情防控常态化这根弦，始终保持警惕、严密防范。 一、合理安排出行，减少不必要的聚集。如非必须，尽量不前往疫情中高风险地区。如确需前往，请务必做好个人防护。10月10日以来到过新疆喀什地区的人员，应主动向所在社区报备相关情况，接受核酸检测。10月26日起，从新疆喀什地区疏附县乘坐火车、飞机等交通工具入（返）苏时，请主动配合健康码查验，返回后主动向所在社区报备，配合做好相关健康管理工作。 二、做好秋冬季呼吸道传染病的防控。常通风、勤洗手、保持社交距离，不随地吐痰，遵守咳嗽礼仪，减少公共场所聚集，在通风不好或者人员聚集的情况下佩戴口罩。合理膳食、适当运动、保持良好心态以及充足的睡眠，提升免疫力，有效预防新冠肺炎、流感、肺结核等呼吸道传染病。 三、坚持健康饮食，储存和加工食物时，砧板、菜刀、餐具等生熟分开、及时清洗。肉蛋海鲜等食物烧熟煮透。倡导公筷公勺，合理膳食，均衡营养。 四、出入农贸市场、批发市场等人员聚集场所时，提高防范意识，加强个人防护，全程佩戴口罩。尽量避开人流高峰，缩短停留时间，减少接触生鱼生肉等食品原料，回家后及时清洁双手。 五、一旦出现发热、干咳、乏力等症状，应立即到就近的发热门诊就诊，并主动告知14天活动轨迹及接触史。就医途中全程佩戴口罩，尽量避免乘坐公共交通工具。 六、主动申请和使用“苏康码”进行健康状况申报。入境来苏人员应主动向社区或单位报告，并配合开展集中隔离医学观察和新冠病毒核酸检测。如14天内本人或共同居住的家庭成员曾前往境外，或曾接触过相关地区来苏人员，也应向社区或单位报告。 责任编辑：贾楠 SN245 
11月2日广东省新增境外输入确诊病例8例|2020年11月03日 08:17|原标题：2020年11月3日广东省新冠肺炎疫情情况 11月2日0-24时，全省新增境外输入确诊病例8例，广州报告，2例来自孟加拉国，其余6例分别来自印度、乌干达、埃塞俄比亚、波兰、刚果金和阿根廷。新增境外输入无症状感染者8例，广州报告3例，分别来自印度尼西亚、孟加拉国和也门；深圳报告2例，来自日本；佛山报告3例，分别来自印度尼西亚、埃塞俄比亚和阿曼。以上均在入境口岸或隔离点发现，入境后即被隔离观察。新增出院4例。 截至11月2日24时，全省累计报告新冠肺炎确诊病例1935例（境外输入539例）。目前在院36例。 责任编辑：张迪 SN230 
预定新冠疫苗，北京提货？抓了！又一省将紧急接种|2020年11月03日 08:08|原标题：预定新冠疫苗，北京提货？抓了！又一省将紧急接种…… 在新冠疫情的阴影下，疫苗是大家翘首以盼的希望，可竟然有人以此来骗钱！ 据北京日报报道，北京海淀区人民检察院近日办理了一起通过在网上散布售卖新冠疫苗虚假消息从而骗取钱财的案件，检方同时发布预警：切勿相信网络上的相关谣言。 据报道，目前，北京海淀检方已查明： 2020年8月至案发，犯罪嫌疑人尹某与其同伙通过某网络平台散布虚假消息，虚构其有渠道可以售卖新冠肺炎疫苗现货。先后有多名受害者在看到信息后信以为真，预先向尹某支付了疫苗款项，数额较大。到案后，尹某对其犯罪事实供认不讳。检察机关现以犯诈骗罪对尹某依法批准逮捕。 检察官介绍，根据《关于依法惩治妨害新型冠状病毒感染肺炎疫情防控违法犯罪的意见》规定，在疫情防控期间，假借研制、生产或者销售用于疫情防控的物品的名义，骗取公私财物，或者捏造事实骗取公众捐赠款物，数额较大的，依照刑法相关规定，以诈骗罪定罪处罚。 同时，根据《互联网药品信息服务管理办法》等相关法律法规规定，个人账户在网络上销售或者宣传药品等行为均属违法违规行为。 如果市民在网上看到有关的违法信息，可以向公安机关举报。检察官也提醒大家，不论是接种何种疫苗都应该到正规医疗机构进行接种，切勿相信网络上流传的谣言。 已有多起关于疫苗的网络谣言被处理 中国青年报（ID：zqbcyol）记者注意到，类似事件不止一例。 8月11日，河南商报就报道，近日有市民发现，有人竟然在朋友圈销售起了新冠疫苗，代理价1100元起，并表示可大量预定。 记者联系上被“涉及”的疫苗企业，该疫苗的生产企业得知情况后，直呼“不可能”，并称，疫苗还未获批上市，且疫苗管理法明确规定个人不得进行代理销售。 10月19日上午，一则广西“北海西塘社区卫生服务中心有新冠肺炎疫苗可以打！”的消息刷爆了大部分北海人的朋友圈。 19日下午，西塘社区卫生服务中心相关工作人员发布澄清说明： 同时，西塘社区卫生服务中心也发布正式说明： 大家留意疫苗动态心切，但是面对不明信息，还是耐心等待官方发布，切勿乱了阵脚！ 据“掌上长沙”11月2日消息，湖南省疾控中心应急办主任刘富强透露，湖南最早可在年底开始新冠疫苗的紧急接种。“正在做的就是向国家申请新冠疫苗紧急使用的一个方案。按照国家联防联控机制发布的消息，今年年底或者明年年初，湖南省可以开展新冠疫苗的紧急接种。” 等到新冠疫苗正式上市后，市民可以在各地县级以上卫生行政部门批准的预防接种门诊或临时接种点接种。但在新冠疫苗尚未获批上市之前，刘富强建议市民接种流感疫苗，做好个人健康防护，以免形成新冠肺炎与流感叠加感染。 责任编辑：贾楠 SN245 
山东青岛11月2日新增境外输入确诊病例1例 来自日本|2020年11月03日 08:07|原标题：山东青岛2日新增日本输入确诊病例1例 “健康山东”微信公众号11月3日通报，2020年11月2日0时至24时： 山东无新增本地疑似病例、确诊病例。累计报告确诊病例777例，死亡7例，新增治愈出院病例1例，累计治愈出院766例。 山东无新增境外输入疑似病例，青岛市报告日本输入确诊病例1例。累计报告境外输入确诊病例71例，累计治愈出院70例。 山东无新增无症状感染者。正在隔离观察治疗的无症状感染者5例（境外输入5例）。 今年以来全省共追踪到密切接触者26684人，目前尚有301人正在接受医学隔离观察。 详见下表（单位：例）： 责任编辑：赖柳华 SN244 
11月2日新疆新增本土确诊5例 新增无症状感染者13例|2020年11月03日 08:06|原标题：11月2日新疆（含兵团）最新疫情通报 来源：天山网 新疆维吾尔自治区卫生健康委最新通报，11月2日0时至24时，新疆维吾尔自治区（含新疆生产建设兵团）新增新冠肺炎确诊病例5例（均为无症状感染者转确诊）；新增无症状感染者13例，均为疏附县对集中隔离医学观察人员进行核酸检测筛查发现；重症转普通型1例。 截至11月2日24时，新疆（含兵团）现有确诊病例62例（重症8例）均为喀什疏附县病例；无症状感染者231例，均来自喀什疏附县和克州阿克陶县。 责任编辑：张迪 SN230 
11月2日山东无新增本地疑似病例、确诊病例|2020年11月03日 08:00|原标题：2020年11月2日0时至24时山东省新型冠状病毒肺炎疫情情况 来源：健康山东 山东省本地病例按确诊时医院所在县区统计，境外输入病例单独统计。 新增确诊病例和无症状感染者具体情况由相关市卫生健康委进行通报。 责任编辑：贾楠 SN245 
31省区市新增确诊病例49例 其中本土病例5例均在新疆|2020年11月03日 07:56|原标题：截至11月2日24时新型冠状病毒肺炎疫情最新情况 11月2日0—24时，31个省（自治区、直辖市）和新疆生产建设兵团报告新增确诊病例49例，其中境外输入病例44例（上海9例，广东8例，四川8例，内蒙古4例，福建4例，湖北4例，北京2例，天津2例，江苏1例，浙江1例，山东1例），本土病例5例（均在新疆）；无新增死亡病例；新增疑似病例2例，均为境外输入病例（均在内蒙古）。 当日新增治愈出院病例21例，解除医学观察的密切接触者514人，重症病例较前一日减少3例。 境外输入现有确诊病例325例（无重症病例），现有疑似病例2例。累计确诊病例3445例，累计治愈出院病例3120例，无死亡病例。 截至11月2日24时，据31个省（自治区、直辖市）和新疆生产建设兵团报告，现有确诊病例391例（其中重症病例9例），累计治愈出院病例81045例，累计死亡病例4634例，累计报告确诊病例86070例，现有疑似病例2例。累计追踪到密切接触者863944人，尚在医学观察的密切接触者15585人。 31个省（自治区、直辖市）和新疆生产建设兵团报告新增无症状感染者61例（境外输入48例）；当日转为确诊病例9例（境外输入4例）；当日解除医学观察11例（均为境外输入）；尚在医学观察无症状感染者725例（境外输入493例）。 累计收到港澳台地区通报确诊病例5945例。其中，香港特别行政区5336例（出院5102例，死亡105例），澳门特别行政区46例（出院46例），台湾地区563例（出院519例，死亡7例）。 责任编辑：张迪 SN230 
上海11月2日新增9例境外输入病例|2020年11月03日 07:43|原标题：昨天上海无新增本地新冠肺炎确诊病例，新增9例境外输入病例 编辑：阮天霖 责任编辑：赖柳华 SN244 
河北雄县通报一新冠肺炎无症状感染者密接乘车情况|2020年11月03日 07:40|原标题：河北雄县通报一新冠肺炎无症状感染者密接乘车情况，曾乘坐公交车及高铁出行 “雄州之声”微信公众号11月3日援引雄县应对新冠肺炎疫情工作领导小组办公室消息，发布《雄县防控办关于新冠肺炎无症状感染者密接乘车情况的通告》，通告称，11月1日，雄县接到石家庄市桥西区应对新型冠状病毒感染的肺炎疫情防控工作领导小组办公室关于协助做好密接人员管控工作的函，天津入境河南濮阳新冠肺炎无症状感染者张某某密接李某乘车情况如下：李某自述10月23日11：49自白沟站乘坐高铁G293次15车厢。于12：57到达石家庄站，之后乘公交车到达石家庄工程职业学院；并于10月24日由石家庄站乘坐高铁G2610次7车厢，返回白沟站。 2020年11月1日，雄县接到石家庄市桥西区应对新型冠状病毒感染的肺炎疫情防控工作领导小组办公室关于协助做好密接人员管控工作的函，天津入境河南濮阳新冠肺炎无症状感染者张某某密接李某乘车情况如下： 李某自述10月23日11：49自白沟站乘坐高铁G293次15车厢。于12：57到达石家庄站，之后乘公交车到达石家庄工程职业学院；并于10月24日由石家庄站乘坐高铁G2610次7车厢，返回白沟站。 请目前在雄县域内，与李某同车人员及时与疾控中心联系（0312-5817427）；请目前在雄县域外，与李某同车人员及时与当前所在地的疫情防控办公室联系，并按要求配合调查、检测等管理措施。 请广大群众看到公告后相互转告，提示相关人员尽快报告所在地疾控中心。如果隐瞒不报，一旦造成后果，将依法追究相关人员责任。 特此通告。 责任编辑：赖柳华 SN244 
重庆昨日无新增新冠肺炎病例 新增治愈出院病例1例|2020年11月03日 07:33|原标题：重庆昨日无新增新冠肺炎确诊病例 11月2日0—24时，重庆市本地无新增新冠肺炎确诊病例报告。 截至11月2日24时，重庆市本地无在院确诊病例，累计治愈出院病例570例，累计死亡病例6例，累计报告确诊病例576例。 11月2日0—24时，重庆市无新增境外输入新冠肺炎确诊病例报告，新增治愈出院病例1例（为尼泊尔输入）。 截至11月2日24时，重庆市现有境外输入在院确诊病例3例（均为尼泊尔输入），累计治愈出院病例10例，累计报告境外输入确诊病例13例。 11月2日0—24时，重庆市无新增无症状感染者报告。 截至11月2日24时，尚有无症状感染者3例（均为境外输入，其中新加坡1例、尼泊尔2例），正在接受医学观察。 截至11月2日24时，累计追踪到密切接触者26062人，已解除医学观察26035人，尚有27人正在接受医学观察。 来源：重庆市卫健委网站 责任编辑：赖柳华 SN244 
吉林省东丰县公布1名新疆新冠患者密接人员行程轨迹|2020年11月03日 07:24|原标题：吉林省辽源市东丰县公布密接人员行程轨迹 来源：半岛晨报 吉林省辽源市东丰县新冠肺炎疫情防控工作领导小组办公室发布通告，2020年10月23日，有1名新疆新冠肺炎患者的密切接触者自新疆喀什地区疏附县站敏乡高风险区返回吉林省辽源市东丰县，该人已实施集中隔离管控措施，其基本情况及行动轨迹如下： 霍某某，男，54岁，东丰县小四平镇古年村3组村民。 霍某某于2020年10月23日14时20分左右乘坐沈阳至梅河口客车，于18时左右到达梅河口客运站，转乘梅河口至东丰县客车到达东丰县，19时07分在西小铺宏光旅社住宿。 10月24日4时57分从宏光旅社退房，乘坐东丰至古年客车于7时返回小四平古年家中后未外出。 10月25日至10月26日居家未外出，家中无访客。 10月27日7时独自一人乘坐古年至东丰客车，8时20分下车后步行至于伟口腔牙所，9时20分至11时30分在牙所就诊。12时左右在宏光旅社附近乘东丰至小四平客车回家，下车步行回到家中后未外出。 10月28日居家未外出，家中无访客。 10月29日7时独自一人乘坐古年至东丰客车，8时20分下车后步行至于伟口腔牙所，8时43分至10时37分在牙所就诊。11时30分左右在宏光旅社附近乘东丰至小四平客车回家，下车步行回到家中未外出。 10月30日9时曾到小四平镇内郭首义家商店购物，其他时间居家未外出，家中无访客。 10月31日7时独自一人乘坐古年至东丰客车，8时20分下车后步行至于伟口腔牙所，9时6分至10时13分在牙所就诊。11时30分左右在宏光旅社附近乘东丰至小四平客车回家，下车步行回到家中未外出。晚21时40分转运至县集中隔离点实施集中隔离医学观察。 责任编辑：张迪 SN230 
