美国抗疫与经济双输 中国持久战应该怎么打？|2020年08月01日 23:47|原标题：美国抗疫与经济双输，中国持久战应该怎么打？ 责任编辑：吴金明 
大连对确诊和疑似患者先救治后结算|2020年08月01日 10:48|原标题：大连对确诊和疑似患者先救治后结算 8月1日上午，大连市召开疫情防控新闻发布会，通报疫情最新进展和防控措施等情况。 大连市医疗保障局局长邸树军介绍，大连将国家卫健委下发的《新型冠状病毒感染的肺炎诊疗方案》中覆盖的医疗服务项目和药品，全部临时纳入我市医保基金支付范围。 对确诊和疑似患者，先救治后结算，在基本医保、大病保险、医疗救助等按规定支付后，个人负担部分由财政部门安排资金补助，个人不需负担费用。围绕住院登记、费用结算、待遇享受等环节，开设“无障碍”入院、“零支付”出院等快捷通道，全力确保确诊和疑似患者顺利享受到医疗救治服务。（总台央视记者 李承泽） 责任编辑：张建利 
大连：凯洋海鲜公司员工确诊36例 接触者11例|2020年08月01日 10:38|原标题：大连：凯洋海鲜公司员工确诊36例，接触者11例 8月1日，辽宁省大连市人民政府新闻办召开疫情防控工作新闻发布会。截至7月31日24时，大连累计确诊病例76例（凯洋海鲜公司员工36例，凯洋海鲜公司员工接触者11例，大连湾街道居民17例，确诊病例和无症状感染者的密接9例，传播途径全力在查3例）；正在实施医学观察的本地无症状感染者31例。 责任编辑：朱学森 
北京疫情报告病例数首位并非新冠 而是它！|2020年08月01日 10:35|原标题：北京疫情报告病例数首位并非新冠，而是它！ （健康时报记者 韦川南）虽然新型冠状病毒肺炎是今年大家最为关注的传染病，然而今年北京市疾控中心的疫情周报连续多个月显示，新冠肺炎并不在传染病报告病例数前五之列，位居第一的是其它感染性腹泻！其它感染性腹泻病、肺结核、梅毒、病毒性肝炎和痢疾依旧是主要传染病！ 以北京市疾控中心官网公布的最新一期周报2020年第29周（7月13日至7月19日）为例，全市共报告法定传染病12种743例，报告病例数居前5位的病种依次为： 其它感染性腹泻病、肺结核、病毒性肝炎、痢疾和梅毒，共占法定传染病报告发病数的91.3%。 不过在自新发地疫情发生后，北京新冠肺炎报告病例数增多，在6月8日—6月28日这20天，连续三周，新型冠状病毒肺炎报告病例数都进入前五，不过报告病例数首位的依旧是其它感染性腹泻病。 “感染性腹泻一年四季都会发生，不同的季节有不同的致病菌，尤其是夏季高发。”中国疾控中心副研究员张宇介绍，感染性腹泻是致病病原体导致的腹部感染，如细菌、病毒、寄生虫等，都可以造成感染，致病菌包括大肠杆菌、沙门氏菌、志贺菌、变形杆菌等；轮状病毒、诺如病毒、柯萨奇病毒等病毒等。夏季天气炎热、食物容易腐败，致病菌更容易在事物上滋生，吃完致病微生物污染的食物，就容易腹泻。 在传播方面，感染性腹泻的传播方式主要是粪口传播，张宇解释，比如接触了病人、吃得食物不洁或手上沾上细菌或病毒等。腹泻本身除了引起不适外，最重要的危害是会造成脱水、电解质紊乱、肾功能异常、酸中毒、休克等。不过常见的感染性腹泻经过对症治疗，一般不会造成特别严重的后果。很严重的感染性腹泻，比如是由霍乱等甲类或是乙类传染病导致的，那么疾控部门也会特别提示大家的。 张宇特别提示，家中如出现感染性腹泻的病例，建议就不要让其再做饭了，否则容易传染更多家庭成员。其他家庭成员也要注意保持距离，病例呕吐、排泄出的脏物也是有致病菌的，因此他们摸过的物品、用过的厕所等都要仔细消毒，否则也会传染给其他家庭成员。 另外，预防感染性腹泻还要注意饮水卫生，夏天一定要喝烧开的水；加强手卫生，尤其是摸了公共物品后要洗手；注意食物卫生，有一些食物放时间长了容易滋生细菌导致变质，像隔夜菜、大排档、酱腌制品、西瓜，这些食物入口一定要把好关，吃隔夜菜要充分加热，西瓜注意不要太贪凉吃等。 责任编辑：朱学森 
在华日本人：比起中国 日本才可怕|2020年08月01日 09:39|原标题：在华日本人：比起中国，日本才可怕 日本雅虎新闻网7月31日文章，原题：驻北京的日本人为何认为“比起中国日本更危险” 日本疫情再次扩大的风险很高，而中国已成功压制住疫情。两国差异在哪里呢？ 吸取疫情教训，中国社会决心摒弃食用野味，养成勤洗手消毒的生活习惯，很多中国人希望疫情期间养成的这些习惯能延续下去。反观日本，政府下达的指令颇为暧昧，在非常时期也无法迅速采取非常手段，导致疫情持续扩大。 日本某大型IT企业员工山内1月26日被派往北京，当时中国疫情开始扩散，他想尽快返日。但在北京复工复产后，山内发现，日本其实更危险。 山内一直在家里远程办公，吃饭也是点外卖——有时外卖里还附有加油打气的纸条。2月17日起他每周去两次公司，办公室有专人负责长时间消毒。那时疫情已开始在日本传播。尽管如此，日本人的危机意识仍很淡薄。 之后，归国令终于来了。但中国已度过危险期，控制住疫情。山内犹豫再三决定不回日本。犹豫的那一周里，日本疫情继续恶化。 山内去北京公司上班，要戴护目镜和一次性手套，回家后马上洗浴并换衣物。日本人说“中国真可怕”，其实日本的毫无防备状态才可怕。山内一边感叹“还好没回日本”，一边对自己的国家进行评判，“很多日本人说因为日本是民主国家，所以没办法效仿中国。但很多国家都这么做了。为短时间内控制住疫情，必须暂停不必要的社会活动。” 4月7日，日本发布紧急事态宣言。4月4日，中国举行全国性哀悼。两相对比十分明显。日本发出太多错误信号。而在中国，早在清明节就已有不少人出游。即便在这样良好的局势下，中国一直未放松警惕。▲（作者浦上早苗，文卉译） 责任编辑：张建利 
浙江7月31日新增无症状感染者1例 为印度尼西亚输入|2020年08月01日 09:29|原标题：浙江昨日新增无症状感染者1例，为印度尼西亚输入 据浙江省卫健委消息，7月31日0-24时，新增无症状感染者1例（印度尼西亚输入），无新增确诊病例。截至31日24时，累计报告确诊病例1270例（境外输入病例51例）。 新增无症状感染者：W某某，男，30岁，工程师，户籍地址JL.Sinonggo。7月29日下午，从印度尼西亚乘航班到达杭州萧山国际机场，经机场海关排查采样后，由专车送达指定隔离点医学观察。7月30日，机场海关报告新冠病毒核酸初筛检测阳性，遂由救护车转送至杭州市西溪医院隔离治疗并采样检测。7月31日，杭州市西溪医院报告新冠病毒核酸检测阳性，抗体检测阴性，并经杭州市疾控中心复核确认。目前，已排查出密切接触者和一般接触者139人，均为同航班乘客，已全部实行集中隔离医学观察。 责任编辑：朱学森 
31省区市新增确诊45例：新疆新增本土病例31例|2020年08月01日 08:44|原标题：31省区市新增确诊45例：新疆新增本土病例31例 7月31日0—24时，31个省（自治区、直辖市）和新疆生产建设兵团报告新增确诊病例45例，其中境外输入病例6例（上海4例，广东2例），本土病例39例（新疆31例，辽宁8例）；无新增死亡病例；无新增疑似病例。 当日新增治愈出院病例15例，解除医学观察的密切接触者589人，重症病例较前一日减少2例。 境外输入现有确诊病例80例（其中重症病例3例），现有疑似病例2例。累计确诊病例2069例，累计治愈出院病例1989例，无死亡病例。 截至7月31日24时，据31个省（自治区、直辖市）和新疆生产建设兵团报告，现有确诊病例714例（其中重症病例39例），累计治愈出院病例78989例，累计死亡病例4634例，累计报告确诊病例84337例，现有疑似病例2例。累计追踪到密切接触者789742人，尚在医学观察的密切接触者20278人。 31个省（自治区、直辖市）和新疆生产建设兵团报告新增无症状感染者23例（境外输入11例）；当日转为确诊病例5例（无境外输入）；当日解除医学观察12例（境外输入5例）；尚在医学观察无症状感染者252例（境外输入99例）。 累计收到港澳台地区通报确诊病例3785例。其中，香港特别行政区3272例（出院1751例，死亡27例），澳门特别行政区46例（出院46例），台湾地区467例（出院441例，死亡7例）。 责任编辑：刘光博 
北京昨日无新增报告新冠肺炎确诊病例 治愈出院4例|2020年08月01日 08:32|原标题：北京7月31日无新增报告新冠肺炎确诊病例，治愈出院4例 来源：首都健康 7月31日0时至24时，无新增报告本地确诊病例、疑似病例和无症状感染者；无新增报告境外确诊病例、疑似病例和无症状感染者；治愈出院新发地聚集性疫情病例4例。 6月11日0时至7月31日24时，新发地聚集性疫情累计报告相关确诊病例335例，治愈出院330例，在院5例；大连市疫情关联病例累计3例；境外输入病例1例；尚在观察的无症状感染者3例。 平谷区自有疫情以来无报告病例、延庆区190天无报告病例、怀柔区176天、顺义区174天、密云区171天、石景山区47天、门头沟区46天、房山区46天、东城区45天、通州区41天、朝阳区40天、西城区39天、海淀区36天、大兴区31天、丰台区26天、昌平区2天。 责任编辑：张建利 
新疆(含兵团)昨日新增新冠肺炎确诊病例31例|2020年08月01日 08:25|原标题：7月31日新疆（含兵团）新冠肺炎疫情最新通报 来源：天山网 新疆维吾尔自治区卫生健康委最新通报，7月31日0时至24时，新疆维吾尔自治区（含新疆生产建设兵团）报告新增新冠肺炎确诊病例31例，新增无症状感染者8例，均在乌鲁木齐市；新增治愈出院确诊病例7例，新增无症状感染者解除医学观察7例，均在乌鲁木齐市；重症转普通型2例。 截至7月31日24时，新疆（含兵团）现有确诊病例547例（危重症5例、重症25例），其中乌鲁木齐市544例、喀什地区1例（乌鲁木齐市输入）、昌吉州1例（乌鲁木齐市输入）、兵团1例；现有无症状感染者109例，其中乌鲁木齐市107例、兵团1例、昌吉州1例（乌鲁木齐市输入）；尚有14540人正在接受医学观察。 7月15日0时至7月31日24时，累计治愈出院确诊病例16例，无症状感染者解除医学观察16例，均在乌鲁木齐市。 责任编辑：张建利 
河南昨日新增1例无症状感染者|2020年08月01日 08:20|原标题：最新通报 | 7月31日河南省无新增新冠肺炎确诊病例 新增1例无症状感染者 来源：河南省卫生健康委员会 2020年7月31日0时-24时，我省无新增新冠肺炎确诊病例、疑似病例。新增1例无症状感染者（为境外输入）。 截至7月31日24时，我省累计报告本地确诊病例1273例，其中死亡病例22例，出院病例1251例。累计报告境外输入确诊病例3例，全部出院。 自1月21日起，我省已累计追踪到密切接触者40466人。有55人正在接受医学观察。 截至7月31日24时，正在医学观察的无症状感染者5例。 责任编辑：张建利 
山东报告境外输入无症状感染者5例|2020年08月01日 08:11|原标题：2020年7月31日0时至24时山东省新型冠状病毒肺炎疫情情况 来源：闪电新闻 2020年7月31日0时至24时： 山东无本地住院疑似病例、确诊病例。累计报告确诊病例763例，死亡7例，治愈出院756例。 山东无新增境外输入疑似病例、确诊病例。累计报告境外输入确诊病例36例。新增治愈出院病例1例，累计治愈出院30例。 济南市报告俄罗斯输入无症状感染者1例，青岛市报告菲律宾输入无症状感染者4例。全省正在隔离观察治疗的无症状感染者17例（均为境外输入），出院1例。 目前共追踪到密切接触者23165人，尚有208人正在接受医学隔离观察。 责任编辑：张建利 
香港立法会推迟选举：非常时期的非常必要之举！|2020年08月01日 08:07|原标题：香港立法会推迟选举：非常时期的非常必要之举！ 责任编辑：张建利 
辽宁新增8例本土病例|2020年08月01日 07:54|原标题：辽宁新增8例本土病例 7月31日0时至24时，辽宁省新增8例本土新冠肺炎确诊病例，均为大连市报告病例（普通型2例、轻型6例），其中5例为无症状感染者转归确诊病例。新增本土无症状感染者4例，为大连市报告。截至7月31日24时，辽宁全省累计报告确诊病例241例（含境外输入33例），治愈出院160例，死亡2例，在院治疗79例。目前，尚有35例无症状感染者在定点医院隔离治疗。 责任编辑：张建利 
上海昨日新增境外输入4例|2020年08月01日 07:45|原标题：上海昨日无新增本地新冠肺炎确诊病例，新增境外输入4例，治愈出院2例 来源：健康上海12320 7月31日0—24时，通过口岸联防联控机制，报告4例境外输入性新冠肺炎确诊病例。新增治愈出院2例，其中来自墨西哥1例，来自新加坡1例。 病例1为中国籍，在菲律宾工作，7月29日自菲律宾出发，当日抵达上海浦东国际机场，入关后即被集中隔离观察，期间出现症状。综合流行病学史、临床症状、实验室检测和影像学检查结果等，诊断为确诊病例。 病例2为中国籍，在菲律宾工作，7月29日自菲律宾出发，当日抵达上海浦东国际机场，入关后即被集中隔离观察，期间出现症状。综合流行病学史、临床症状、实验室检测和影像学检查结果等，诊断为确诊病例。 病例3、病例4为父子关系，中国籍，在新加坡工作，7月27日自新加坡出发，当日抵达上海浦东国际机场，因有症状，入关后即被送至指定医疗机构隔离留观。综合流行病学史、临床症状、实验室检测和影像学检查结果等，诊断为确诊病例。 4例境外输入性确诊病例已转至定点医疗机构救治，已追踪同航班的密切接触者133人，均已落实集中隔离观察。 7月31日0—24时，无新增本地新冠肺炎确诊病例。 截至7月31日24时，累计报告境外输入性确诊病例406例，治愈出院387例，在院治疗19例。现有待排查的疑似病例1例。 截至7月31日24时，累计报告本地确诊病例342例，治愈出院335例，死亡7例。现有待排查的疑似病例0例。 截至7月31日24时，尚在医学观察中的无症状感染者0例。 责任编辑：张建利 
胡锡进：印度不要被美国耍了 被当做遏制中国的炮灰|2020年08月01日 07:20|老胡说说中印。印度二季度八大核心产业指数同比下降了15%，与此同时，因新冠疫情已在印度失去控制，印度已连续多日每天新增确诊病例4万人以上，最新一天单日死亡779人，累计死亡3.5万人。目前是印度最炎热的季节，凶狠、神秘的新冠病毒对这个国家居然也不放过，印度目前已是世界感染人数排第三的国家，而且人们普遍担心印度有很多感染者包括死亡者没有统计上来。 与中国一样，印度的核心任务无疑是发展，中印有边界纠纷，但是两国各自壮大经济改善民生的任务非常繁重，我无法相信这两个国家有为边界纠纷相互死磕而将合作促进经济发展置于一边的理由，那显然不符合中印两国各自人民的根本利益。中国社会已经从加勒万河谷的冲突中平静了下来，老胡希望印度也早点平静下来。两国都不要让边界纠纷干扰了各自国家的真正目标。 印度现在对中国开展“经济制裁”，停用中国的APP，阻止中国公司参与印度基础设施建设等等。说实话，印度现在经济的情况使它没有力气制裁中国，这样做只会让印度经济雪上加霜，减少印度的就业机会，让印度消费者远离物美价廉的中国产品，这样的经济民族主义只会加剧疫情中印度社会的痛苦。 中印边界纠纷是殖民主义的后遗症，中印必须有智慧化解这个问题，管控它对两国社会今天的危害。这需要中印用善意彼此互动，而不是相互斗狠，进行民族主义意志的竞赛。印度尤其不要被美国耍了。华盛顿多么希望印度什么都不要了，与中国怼，做美国人遏制中国战略的炮灰。 责任编辑：张建利 
在华日本人：中国更安全，日本疫情扩大风险高|2020年08月01日 06:50|原标题：在华日本人：中国更安全，日本疫情扩大风险高 吸取疫情教训，中国社会决心摒弃食用野味，养成勤洗手消毒的生活习惯，很多中国人希望疫情期间养成的这些习惯能延续下去。反观日本，政府下达的指令颇为暧昧，在非常时期也无法迅速采取非常手段，导致疫情持续扩大。 日本某大型IT企业员工山内1月26日被派往北京，当时中国疫情开始扩散，他想尽快返日。但在北京复工复产后，山内发现，日本其实更危险。 山内一直在家里远程办公，吃饭也是点外卖——有时外卖里还附有加油打气的纸条。2月17日起他每周去两次公司，办公室有专人负责长时间消毒。那时疫情已开始在日本传播。尽管如此，日本人的危机意识仍很淡薄。 之后，归国令终于来了。但中国已度过危险期，控制住疫情。山内犹豫再三决定不回日本。犹豫的那一周里，日本疫情继续恶化。 山内去北京公司上班，要戴护目镜和一次性手套，回家后马上洗浴并换衣物。日本人说“中国真可怕”，其实日本的毫无防备状态才可怕。山内一边感叹“还好没回日本”，一边对自己的国家进行评判，“很多日本人说因为日本是民主国家，所以没办法效仿中国。但很多国家都这么做了。为短时间内控制住疫情，必须暂停不必要的社会活动。” 4月7日，日本发布紧急事态宣言。4月4日，中国举行全国性哀悼。两相对比十分明显。日本发出太多错误信号。而在中国，早在清明节就已有不少人出游。即便在这样良好的局势下，中国一直未放松警惕。（作者浦上早苗，文卉译） 责任编辑：吴金明 
突发疫情成北京高质量发展“试金石”|2020年08月01日 03:35|原标题：突发疫情成北京高质量发展“试金石” 4万多家机构和学校，14万名老师，超过千万名学生，累计在线授课数千万小时——过去更多聚焦线下课堂的北京好未来教育公司今年开拓出线上新领地，直接带动企业快速复工复产，全年将提供就业岗位2万个。疫情之下，一些行业受到不小的冲击，但也兴起和壮大了一批新业态、新模式。 “今年上半年北京经受住了新冠疫情的严峻考验，经济社会秩序逐步恢复，主要经济指标明显改善。”市发改委相关负责人昨天表示，疫情之下，北京新经济新动能逆势上扬，创新驱动和对外开放持续深化，展现出北京经济高质量发展的“坚韧”一面。 “学而思网校的免费直播课，每天观看超过6000万人次，最高时每节课有超过100万人同时在线。”好未来公司相关负责人说。 网课的屏幕后面正是新业态新模式：疫情期间，在线教育行业表现出强大发展潜力，发挥了就业“稳定器”的作用。在新业态新模式频出亮点的同时，北京的重点产业也展示出“压舱石”的作用。 今年2月，国内疫情肆虐之时，小米10系列产品线上发布。在两个月时间内，出货量就突破百万级别；小米电视上半年出货量中国第一。小米集团介绍，2020年一季度营收达497亿元，同比增长13.6%，手机、智能硬件、互联网三大业务增长，也向行业注入发展信心。 突发疫情是北京高质量发展的“试金石”。数据显示，今年上半年，显示器、集成电路产品需求旺盛，带动北京电子行业增长15.2%；北京奔驰、北汽福田6月产值分别增长25.1%和75.8%，带动汽车行业降幅较一季度收窄27个百分点；金融、信息行业增加值分别增长5.7%和8.3%，比一季度提高0.2个和4.8个百分点。 与此同时，作为全国科创中心，北京的创新生态不断完善，“三城一区”建设取得新进展：中关村科学城城市大脑展示体验中心建成启用；怀柔科学城5个大科学装置加快建设；未来科学城生命园产业运营公司储备重点潜力企业项目14个；经开区65项三城科技成果转化项目落地。 “像我们这种研发企业，需要大量的资金投入。”疫情期间，北京梦之墨科技有限公司遭遇资金短缺的难题，企业运营一度“压力山大”。让梦之墨公司市场总监吴聪没想到的是，来自北京市重点产业知识产权基金的融资款在疫情期间迅速到账，解了燃眉之急。 为了让更多企业渡过难关，上半年本市连续出台多项帮扶举措：市区两级国有企业累计为中小微企业减免房租40亿元，其他各类主体减免房租25.2亿元；批准延期申报和延期缴纳税款31亿元；为2051家旅行社暂退10.23亿元旅游服务质量保证金；降低企业用水用电用气成本约13亿元；向疫情防控重点企业发放贷款408.5亿元、加权利率2.58%，累计发放涉农和普惠小微贷款164.29亿元；2至6月阶段性减免养老、失业、工伤和职工基本医疗保险费806.5亿元…… 2692亿元！这是今年“6·18”京东平台累计下单金额。即便是疫情之下，依然比去年增长33.5%，展现出线上消费的惊人潜力。 “‘6·18’前几天，300万张北京消费券在京东发放，堪称‘强势助攻’。”京东集团相关负责人说。 数据显示，上半年本市线上批发零售业、住宿餐饮业网上零售额1899.2亿元，增长25.8%、比一季度提高9.9个百分点。其中，6月京东、苏宁易购在“6·18”等促销活动带动下零售额分别增长41%和1.2倍；京城非遗老字号购物节各类电商平台销售额近4亿元；线上教育、互联网医院快速发展，线上教育类企业收入增长29%。 记者获悉，今年下半年本市还将不断优化新消费供给，以线上消费弥补线下消费不足，继续办好北京消费季线上活动，推动商场、商圈加快数字化转型，鼓励引导商场、商户更多通过直播带货、反向定制、预约经济、无接触配送等新型消费方式，激发消费潜力。 市发改委透露，本市还将出台恢复城市活力促进文旅消费工作措施，创新发展云旅游、云阅读、线上体育健康活动和线上演出等消费新形态，继续推动跨境电商企业开展“网购保税+线下自提”业务。 责任编辑：朱学森 
香港疫情发展走向如何？是否会有第4波疫情？|2020年08月01日 00:25|原标题：#香港疫情发展走向如何#？是否会有第4波疫情？ 香港医院管理局主席 范鸿龄：情况是非常严峻的，因为第三波是突然来的，同时发展的速度很快，有人说情况还可以，因为没有几何级的增长。我个人的看法是有了第三波，难保不会有第四波，同时我们不能忽视香港是一个外向的经济，我们跟全世界都有很大的联系，现在我们把海陆空的来往已经减到每天只有三项，每项只有两三千人，正常的时候是几十万人。只要稍微放松，难保没有第四波、第五波，所以我们一定要做好最坏的打算。 责任编辑：张迪 
香港医院管理局主席：香港第三波疫情老年人占比提高|2020年08月01日 00:14|原标题：香港第三波疫情老年人占比提高 香港医院管理局主席 范鸿龄：第三波疫情跟前两波最大的不同，就是这次病人年纪大的占比例不少，很多老人家都是80几、90岁。这次暴发有好几个长者的社区中心都中招了，所以这次老人治疗比较困难，同时住院时间也比较长，这是我们现在最担心的问题。 责任编辑：张迪 
大连市新增11例确诊病例 行动轨迹公布|2020年08月01日 00:00|原标题：大连市新增11例确诊病例 来源：大连发布 7月29日24时至7月30日24时，大连市新增11例确诊病例。 现将其轨迹公布如下 1。确诊病例58：施某，男，54岁，大连凯洋世界海鲜股份有限公司职工。现住址：金普新区古城丁区。7月27日作为确诊病例的密切接触者进行核酸检测筛查，大连市疾控中心新冠肺炎病毒核酸检测阳性。经临床检查，7月30日由省专家组复核为确诊病例（普通型），目前病情稳定，在定点医院隔离治疗。对排查的密切接触者正在实施集中隔离医学观察。 该患者7月23日起，在集中隔离点实施集中隔离医学观察。 2。确诊病例59：吴某，女，47岁，大连凯洋世界海鲜股份有限公司职工（已离职）。居住地址：甘井子区大连湾北街公司宿舍。7月27日作为确诊病例的密切接触者进行核酸检测筛查，大连市疾控中心新冠肺炎病毒核酸检测阳性。经临床检查，7月30日由省专家组复核为确诊病例（普通型），目前病情稳定，在定点医院隔离治疗。对排查的密切接触者正在实施集中隔离医学观察。 该患者重点关注行动轨迹如下： 7月6日-7月20日，在大连凯洋世界海鲜股份有限公司上班，食宿均在公司，休息日未外出。 7月21日，正常上班。18时办理离职后至金普新区站前街道新希望乐城（亲戚家）。 7月22日，在亲戚家未外出。 7月23日，12时被转运至集中隔离点实施集中隔离医学观察。 3。确诊病例60：汪某，女，67岁，打工。现住址：金普新区亮甲店镇柳树村。7月27日在村新冠肺炎病毒筛查点核酸检测结果阳性，后经大连市疾控中心复核阳性。经临床检查，7月30日由省专家组复核为确诊病例（普通型），目前病情稳定，在定点医院隔离治疗。对排查的密切接触者正在实施集中隔离医学观察。 该患者重点关注行动轨迹如下： 患者自述生活工作较规律，每日由家步行至前柳屯蓝莓园打零工，工作期间偶尔与工友交流，不接触其他人。 7月19日，14时-15时，乘私家车到汇金市场购物。 7月20日-23日，在金普新区光中街道于洼小区儿子家中住。每日17时送孙女至金州体育场南侧碧海尚城小区补课班。 7月24日，上午其儿子驾车将其送回前柳屯家中，下午至蓝莓园工作。 7月25日-26日，在蓝莓园工作，正常上下班。 7月27日，正常上下班。中午至村新冠肺炎病毒核酸集中筛查点采样。 7月28日，上午正常上班，下午居家未外出。21时30分被转运至集中隔离点实施集中隔离医学观察。 4。确诊病例61：胡某，女，43岁，金普新区某服装加工厂工人。现住址：金普新区中长街道解放路。7月28日社区组织新冠肺炎病毒核酸筛查结果阳性，后经大连市疾控中心复核阳性。经临床检查，7月30日由省专家组复核为确诊病例（普通型），目前病情稳定，在定点医院隔离治疗。对排查的密切接触者正在实施集中隔离医学观察。 该患者重点关注行动轨迹如下： 7月19日，14时-15时，乘私家车到汇金市场购物。 7月20日-24日，每日6时许乘金州201路公交车（体育场站-金菊化工厂站）至单位（金普新区光明街道南山村），18时下班原路返家。 7月25日，正常上下班。18时13分至小区门口“大石桥白酒”店购买白酒。 7月26日，正常上下班。 7月27日，6时29分至“卫士放心食品”小吃摊购餐。18时32分至小区对面“国威平价商店”购物。 7月28日，被转运至集中隔离点实施集中隔离医学观察。 5。确诊病例62：王某，男，48岁，无业。现住址：甘井子区大连湾街道宋家村。7月28日社区组织进行新冠肺炎病毒核酸主动筛查结果阳性，后经大连市疾控中心复核阳性。经临床检查，7月30日由省专家组复核为确诊病例（普通型），目前病情稳定，在定点医院隔离治疗。对排查的密切接触者正在实施集中隔离医学观察。 该患者重点关注行动轨迹如下： 7月20日，8时43分、14时30分先后两次至鑫鑫超市购物；13时23分至兰州拉面就餐。 7月21日，4时47分至曲超超市购物；5时20分至5时50分至张姐包子铺就餐；7时55分至鑫鑫超市购物；9时59分至吉日超市购物；10时、12时50分和13时36分先后三次至鑫鑫超市购物；18时40分至吉日超市购物。 7月22日，6时55分、8时56分先后两次至鑫鑫超市消费；13时、17时20分先后两次至国发粮油购物；13时28分、16时39分先后两次至鑫鑫超市购物。 7月23日，6时32分至国发粮油购物；8时5分、8时42分和12时57分先后三次至鑫鑫超市购物。 7月24日，8时、10时38分和12时，先后三次至曲超超市购物；13时、14时16分先后两次至鑫鑫超市购物。 7月25日，6时26分、9时和16时先后三次至鑫鑫超市购物；6时17分、13时先后两次至国发粮油购物，8时57分至乐天超市购物。 7月26日，15时55分至鑫鑫超市购物；18时至乐天超市购物。 7月27日-28日，居家未外出。 6。确诊病例63：高某，男，17岁，某中学学生。现住址：甘井子区大连湾街道二十间大瓦房。7月24日，作为本市确诊病例的密切接触者进行新冠肺炎病毒核酸检测，7月27日大连市疾控中心检测结果阳性。经临床检查，7月30日由省专家组复核为确诊病例（轻型），目前病情稳定，在定点医院隔离治疗。对排查的密切接触者正在实施集中隔离医学观察。 该患者重点关注行动轨迹如下： 7月21日-22日，6时乘坐1022路公交车上学，16时10分原路返家未外出。 7月23日-24日，学校放假，自述居家未外出。 7月25日起，被转运至集中隔离点实施集中隔离医学观察。 7。确诊病例64：华某，男，21岁，大连凯洋世界海鲜股份有限公司员工。居住地址：甘井子区大连湾北街公司宿舍。7月25日，作为本市确诊病例的密切接触者进行新冠肺炎病毒核酸检测，大连市疾控中心检测结果阳性。经临床检查，7月30日由省专家组复核为确诊病例（轻型），目前病情稳定，在定点医院隔离治疗。对排查的密切接触者正在实施集中隔离医学观察。 该患者重点关注行动轨迹如下： 患者自诉生活工作比较规律，食宿均在公司，少外出。 7月18日，白天上班。17时30分至李家街市场汤火功夫麻辣烫就餐。 7月19日-20日，正常上下班，未外出。 7月21日，在宿舍休息未上班，午饭、晚饭均从公司食堂买回。 7月22日起，被转运至集中隔离点实施集中隔离医学观察。 8。确诊病例65：孟某，女，28岁，待业。现住址：甘井子区大连湾街道黄海渔业大港楼。7月28日，作为集中隔离点确诊病例密切接触者进行新冠肺炎病毒核酸检测，大连市疾控中心检测结果阳性。经临床检查，7月30日由省专家组复核为确诊病例（轻型），目前病情稳定，在定点医院隔离治疗。对排查的密切接触者正在实施集中隔离医学观察。 该患者重点关注行动轨迹如下： 7月21日-24日，患者在家照顾孩子，未外出。 7月25日，9时30分被转运至集中隔离点实施集中隔离医学观察。 9。确诊病例66：吴某，男，1个月。现住址：甘井子区大连湾街道黄海渔业大港楼。7月28日，作为集中隔离点确诊病例密切接触者进行新冠肺炎病毒核酸检测，大连市疾控中心检测结果阳性。经临床检查，7月30日由省专家组复核为确诊病例（轻型），目前病情稳定，在定点医院隔离治疗。对排查的密切接触者正在实施集中隔离医学观察。 10。确诊病例67：金某，女，52岁，大连凯洋世界海鲜股份有限公司员工。现住址：甘井子区丽湾海景小区。7月23日，作为本市确诊病例的密切接触者进行新冠肺炎病毒核酸检测，大连市疾控中心检测结果阳性。经临床检查，7月30日由省专家组复核为确诊病例（轻型），目前病情稳定，在定点医院隔离治疗。对排查的密切接触者正在实施集中隔离医学观察。 该患者重点关注行动轨迹如下： 7月8日-21日，每日6时35分左右自居住地乘电瓶车由其丈夫送至公司上班，17时下班步行返家。因脚踝受伤，行动不便，期间无外出购物史、未乘坐其他公共交通工具。 7月22日休息未外出。19时被转运至集中隔离点实施集中隔离医学观察。 11。确诊病例68：徐某，女，28岁，职员。现住址：甘井子区大连湾街道碧海人家小区。7月23日，社区新冠肺炎病毒筛查核酸检测结果呈阳性，后经大连市疾控中心复核阳性。经临床检查，7月30日由省专家组复核为确诊病例（普通型），目前病情稳定，在定点医院隔离治疗。对排查的密切接触者正在实施集中隔离医学观察。 该患者重点关注行动轨迹如下： 患者工作时间较规律，每日8时左右乘坐地铁3号线（大连湾站-大连站）换乘39路或者408路公交车至单位（新开路）上班，偶尔到单位附近外经贸大厦罗森便利店购买早餐；17时下班原路返家。 7月20日，19时-21时在碧海人家小区院内友嘉健身锻炼，自述锻炼期间未佩戴口罩。 7月21日，11时24分至星巴克（新开路店）就餐。 7月22日，患者6时30分打车陪母亲前往去大连市第二人民医院（骨科医院）就诊，患者、其母亲及接诊的医护人员均佩戴口罩。9时步行回单位上班。 7月23日，8时至菜市场买菜；后至小区门口兴隆源超市购物；14时去社区新冠肺炎病毒筛查点核酸采样。 责任编辑：张迪 
