11月29日天津最新疫情通报|2020年11月29日 20:37|原标题：天津最新疫情通报 津云新闻记者 张赫洋 马扬洋 记者从市疾控中心获悉，11月28日18时至29日18时，我市无新增本土新冠肺炎确诊病例，累计报告146例，其中男性82例，女性64例；在院8例（其中重型1例，普通型6例，轻型1例），治愈出院135例，病亡3例。 11月28日18时至29日18时，我市无新增境外输入新冠肺炎确诊病例，累计报告境外输入确诊病例154例（中国籍133例、美国籍3例、菲律宾籍8例、法国籍2例、乌兹别克斯坦籍1例、俄罗斯籍1例、乌克兰籍3例、哈萨克斯坦籍1例、委内瑞拉籍2例），治愈出院150例，在院4例（均为普通型）。 我市无新增无症状感染者，累计105例（境外输入100例），其中，解除医学观察87例、尚在医学观察6例、转为确诊病例12例。 第149例境外输入确诊病例、第153例境外输入确诊病例符合出院标准，于今日从海河医院出院，转入集中隔离医学观察点。 截至目前，全市无现存疑似病例，累计排查密切接触者9080人，尚有140人正在接受医学观察。 责任编辑：朱学森 SN240 
王毅日韩之行六大看点|2020年11月29日 09:58|原标题：王毅日韩之行六大看点 在第二波新冠肺炎疫情来势汹汹的背景下，王毅国务委员兼外长逆行访问日本、韩国，受到中日韩三国和国际媒体广泛关注。继8月访欧、9月访问俄罗斯等四国、10月出访东南亚5国后，王外长线下外交“复工复产”的第四站选择日、韩这两个重要近邻，背后有何考虑？对外释放出什么信息？晓鹿归纳了王毅日韩之行的六大看点，供大家参考。 近年来，在中日共同努力下，两国关系重回正轨，双方并达成“构建契合新时代要求的中日关系”共识。但疫情不可避免对双方合作造成冲击，而日本政府更替也使两国关系面临新的考验。在此背景下，王毅访日同日方达成五点重要共识和六项具体成果，包括继续构建契合新时代要求的中日关系、启动两国必要人员往来“快捷通道”、明年适时举行新一轮中日经济高层对话、建立中日食品农水产品合作跨部门磋商机制、开通两国防务部门海空联络机制直通电话等，体现了双方推动两国关系沿着改善发展轨道继续稳定迈进的明确意愿。王毅还提出三点建议，希望中日之间建立真正互信，推进区域合作，共同致力于全球治理体系改革，推动“构建契合新时代要求的中日关系”尽早落地、开花结果，日方对此予以积极回应。日本首相菅义伟和外相茂木敏充都表示，日本新内阁高度重视日中关系，愿同中方共同推动两国关系稳定发展。晓鹿认为，在菅义伟执政期间，中日关系总体稳定、务实合作持续推进的态势有望延续下去。 中韩合作已拓展到方方面面，双方利益联系之紧密超乎想象。韩国作为中国第三大贸易伙伴国，今年前三季度双边贸易额与去年同期基本持平。中韩有效开展抗疫合作，实现了“四个率先”，即率先建立双边联防联控机制、率先有效控制住疫情、率先建立“快捷通道”、率先开展复工复产合作，树立了国际抗疫合作样板。 此次王毅访韩，主题就是深化友好合作，推动中韩战略合作伙伴关系迈上新台阶。双方就推进双边关系、深化地区合作达成十点共识，决定成立“中韩关系未来发展委员会”，以中韩建交30周年为契机，共同谋划两国关系长远发展蓝图。正如王毅所说，疫情没有打倒中韩两国人民，中韩关系经受住了疫情考验，展现出强大的韧性和活力。据知情人士告，王毅访韩期间，还就“萨德”等事关中方战略安全利益的问题同韩方交换了意见。韩方则向中方重申，仍将坚持之前与中方就此达成的共识。 近期，日媒体一再炒作中方公务船长时间进入钓鱼岛水域。日方在会见、会谈中也向中方表示不满。王毅就此作出回应，可以归纳为三点： 在笔者看来，中方在钓鱼岛问题上向日方传递的信息十分明确，就是不要挑事，而应和中方共同努力，真正把东海建设成为和平之海、友好之海、合作之海。毕竟这才符合中日两国人民的根本和长远利益。中日已就近期举行新一轮海洋事务高级别磋商、强化外交主管部门和海上执法部门间沟通交流达成一致。这表明双方都有意加强风险管控，避免钓鱼岛问题升级失控。 作为半岛的近邻，半岛问题自然会成为中国外长访韩期间双方讨论的一个重要内容。王毅多次强调，要坚持对话解决半岛问题的方向不动摇，坚持通过分阶段、同步走建立半岛和平机制、实现半岛无核化的目标不动摇，坚持防止半岛生战生乱的决心不动摇，展现了中方致力于维护半岛和平稳定、推动政治解决半岛问题的坚定意志。韩方则对中方在半岛问题上发挥的建设性作用给予高度评价，希望中方继续为解决半岛问题发挥积极作用。 中韩还一致认为，南北双方是半岛的主人，半岛问题主导权应当掌握在半岛南、北人民手中。王毅强调，中方支持南北改善关系，推进和解进程。 王毅出访日韩适逢美国大选结果出炉、新政府即将组建之际，不少日韩和国际媒体把此行解读为是中国针对美国的一次外交牵制行动。韩国记者采访王毅时更是一再追问访韩是否出于防止韩国倒向美国的考虑。对此，王毅淡定作答，表示世界上并非只有美国，联合国有190多个会员国，每个国家都是独立自主的；中韩是战略合作伙伴，有防疫、经贸、维护地区稳定以及政治解决半岛问题等很多事情要做，应该多走动、多交流。 晓鹿认为，日、韩是美国在亚洲最重要的两个军事盟友，中日、中韩关系发展不可能无视美国的存在，但如果认为中国发展对日、韩关系纯粹是为了对付美国，则是严重误判。作为重要邻邦和世界第二、三和十二大经济体，中日韩三国拥有重要共同利益。无论是区域全面经济伙伴关系协定的达成，还是区域“快捷通道”的建立，抑或是筹划中的东北亚卫生抗疫合作机制，都表明中日韩共同利益巨大并在不断增长，这是不以人的意志为转移的客观趋势。王毅出访日韩是顺势而为、着眼长远的主动之举，而非像某些媒体解读的那样是为了牵制美国。 王毅此访期间，中方同日、韩分别就相互支持办好2020 年东京奥运会、2022年北京冬奥会和2024年江原道冬青奥会达成一致。2022年恰逢中日邦交正常化50周年和中韩建交30周年，中日、中韩决定启动筹备相关纪念活动。三国还商定明后年分别举办“中日文化体育交流促进年”和“中韩文化交流年”。上述系列活动有望掀起中日韩人文交流新高潮，巩固三国友好的民意基础，令人期待 。 责任编辑：赖柳华 SN244 
齐齐哈尔：学校、监所等重点场所实行半封闭管理|2020年11月29日 09:17|原标题：齐齐哈尔：学校、监所等重点场所实行半封闭管理 截至11月28日，内蒙古满洲里有确诊病例11例，2例疑似患者，1例无症状感染者。据齐齐哈尔市疾病预防控制中心微信公众号消息，齐齐哈尔市应对新型冠状病毒感染肺炎疫情工作领导小组指挥部近日发布第19号公告称，近期如无十分必要，不要前往中高风险地区；学校、监所、养老机构、医院住院部等重点场所实行半封闭管理，严格探视管理制度，进入人员要按规定提供核酸检测报告； 收到国内中高风险地区、境外国家或地区邮件，要进行全面消毒后使用或储存。 责任编辑：赖柳华 SN244 
北京香山论坛专家研讨会将于12月1日至2日举行|2020年11月29日 09:00|原标题：北京香山论坛专家研讨会将于12月1日至2日举行 #为了和平 走向世界#由于当前新冠肺炎疫情影响，原计划于今年举办的第十届北京香山论坛推迟举行。为加强学术交流合作，今年12月1日至2日，北京香山论坛秘书处将以视频形式在京举行专家研讨会。本次研讨会的主题为“加强国际合作：携手应对全球安全新挑战”，设置四个分组议题：亚太安全新形势、面向未来的全球战略稳定、非传统安全领域的国际合作、大国关系走向。目前已有来自美国、俄罗斯、印度等12个国家的学者确认参会。在全球携手抗疫的背景下，我们举办此次专家研讨会，旨在与各方专家集思广益、聚焦合作、深入交流，为维护世界和地区和平稳定贡献智慧和力量。 责任编辑：张玉 
四川新增境外输入确诊病例1例、无症状感染者3例|2020年11月29日 08:44|原标题：四川新增境外输入确诊病例1例、无症状感染者3例 据四川卫健委网站消息，11月28日0-24时，四川新增新型冠状病毒肺炎确诊病例1例（境外输入，11月15日自尼泊尔乘机抵蓉，11月28日确诊），新增治愈出院病例1例，无新增疑似病例，无新增死亡病例。 截至11月29日0时，全省累计报告新型冠状病毒肺炎确诊病例803例（其中境外输入262例），累计治愈出院760例，死亡3例，目前在院治疗确诊病例40例，360人尚在接受医学观察。 11月28日0-24时，全省新增无症状感染者3例（均为境外输入，其中1例为11月8日自尼泊尔乘机抵蓉，2例为11月28日自德国乘机抵蓉，均于11月28日核酸检测阳性），当日转为确诊病例0例，当日解除集中隔离医学观察5例，尚在集中隔离医学观察50例（均为境外输入），比前一日减少2例。 责任编辑：赖柳华 SN244 
11月28日广东无新增新冠肺炎确诊病例|2020年11月29日 08:30|原标题：2020年11月29日广东省新冠肺炎疫情情况 来源：健康广东 11月28日，全省无新增确诊病例。新增境外输入无症状感染者2例，广州报告1例，来自尼日利亚；惠州报告1例，来自中国香港。以上均在隔离点发现，入境后即被隔离观察。 截至11月28日24时，全省累计报告新冠肺炎确诊病例1988例（境外输入592例）。目前在院33例。 责任编辑：张玉 
河南新增境外输入无症状感染者2例|2020年11月29日 08:25|原标题：河南新增境外输入无症状感染者2例 据河南卫健委网站消息，2020年11月28日0时-24时，河南省无新增新冠肺炎确诊病例、疑似病例，新增无症状感染者2例（均为境外输入），解除医学观察无症状感染者1例。 截至11月28日24时，河南省累计报告本地确诊病例1273例，其中死亡病例22例，出院病例1251例。累计报告境外输入确诊病例16例，10例出院，6例正在定点医院接受治疗。 自1月21日起，河南省已累计追踪到密切接触者40603人，目前无人接受医学观察。 截至11月28日24时，正在医学观察的无症状感染者24例（均为境外输入）。 责任编辑：张玉 
11月28日新疆无新增确诊病例和无症状感染者|2020年11月29日 08:16|原标题：11月28日新疆（含兵团）无新增确诊病例和无症状感染者 来源：新疆发布 新疆维吾尔自治区卫生健康委最新通报，11月28日0时至24时，新疆维吾尔自治区（含新疆生产建设兵团）无新增新冠肺炎确诊病例和无症状感染者。 责任编辑：张玉 
元旦寒假能出去玩吗？张文宏带来5个好消息|2020年11月29日 08:15|原标题：元旦寒假能出去玩吗？张文宏带来5个好消息…… 新冠与流感合并感染怎么办？新冠肺炎是否会造成后遗症？距离接种疫苗还有多远？元旦寒假可以出去玩吗？ 11月28日上午，在上海科普大讲坛上，华山医院感染科主任张文宏进行了专题讲座，并对这些热点问题作出了回应。 对于很多人而言，张文宏的回答就像是”定心丸”！ 针对近日出现了新冠和流感一起得的病例，张文宏表示并不奇怪。 张文宏称，“合并感染在冬季非常常见，只不过大家以前没有去测试，所以也不要为此感到恐惧。” 张文宏介绍，今年1月底2月初的时候国际上已经发表论文，合并感染在自然界和呼吸道疾病中本来就很常见。 “新冠病毒治疗到目前为止，没有发现新冠特异性的后遗症。”张文宏介绍，如果非典患者年轻且没用过大剂量激素，恢复起来会比较良好，而新冠病毒治疗到目前为止，尚未发现和新冠有特异性的不良反应。 张文宏说，目前新冠肺炎的一些后遗症还是病毒性疾病常见的后遗症。“很多病毒性疾病都是全身感染，很长一段时间里会对神经系统有一些损害，肺的纤维化恢复需要一段时间。同时新冠病毒到现在也就是几个月的时间，没办法说几年后的事情。” 张文宏表示，个别的病人出现后遗症在科学上是不成立的，6000万例病人里出现了1、2例有后遗症的，这只能是特例，如果要在科学上成立，一定是具有普遍性的。 互动环节，也有听众对于目前新冠病毒的变异情况提出疑问。 对此张文宏表示，对于病毒的测序一直在监控，病毒变异是病毒的特性，随机变异是一直发生的，哪些随机变异会被留下来取决于外面的环境。 “直到疫苗出来以后，病毒的随机变异才有意义。”张文宏也透露，目前，新冠病毒变异没有引发更高的致死性和传播力，这是世卫组织认可的。 对此，张文宏也给出了时间点：“今年底到明年初，全球包括中国老百姓在内，都会迎来新冠疫苗上市高峰期。” 张文宏说，我国对新冠疫苗接种已经有很好的设计，高危人群先打，然后顺序接种。其实，截至目前已经有很多人接受了疫苗的紧急接种，“传染病疫苗的紧急接种在全世界是十分常见的。” 中国新冠疫情可以控制得这么好，最大的关键因素，在于老百姓配合做好个人防护。 “到明年年底，全球疫苗可以供应充分，但是有些地区接种不到位的话，还是会有输入性病例的风险。”张文宏建议，疫情期间即使接种疫苗后，也要养成勤洗手，人群密集处戴口罩，适当保持社交距离的好习惯。 针对元旦、寒假即将来临，张文宏建议，戴口罩、勤洗手，保持距离，这三招，仍是最好的手段。“中国在国庆已经受过一次压力测试，冬季输入性的风险会更大一点，所以自我防护仍是最重要的。” 现场有观众提出，还能出去玩吗？张文宏说，国内除了几个中高风险区域外，哪都可以去。 责任编辑：张玉 
齐齐哈尔市发布最新公告 这些场所实行半封闭管理|2020年11月29日 08:12|原标题：齐齐哈尔市发布最新公告这些场所实行半封闭管理 齐齐哈尔市应对新型冠状病毒感染肺炎疫情工作领导小组指挥部第19号公告 为做好我市冬季疫情防控工作，坚持人、物同防的原则，坚决守住疫情输入关口，现将有关事项公告如下： 1。不折不扣落实属地、部门、单位、个人四方责任，筑牢疫情防控防线； 2。入境及国内中高风险地区抵返我市人员要主动向所属社区（村屯）、所在单位或当地疾控部门报告，并积极配合执行核酸检测等相关防控措施； 3。近期如无十分必要，不要前往中高风险地区； 4。各级各类小区、企事业单位、餐饮、宾馆、商场、超市、农贸市场、景点景区等公共场所坚持戴口罩、勤通风、科学消毒、不聚集； 5。学校、监所、养老机构、医院住院部等重点场所实行半封闭管理，严格探视管理制度，进入人员要按规定提供核酸检测报告； 6。收到国内中高风险地区、境外国家或地区邮件，要进行全面消毒后使用或储存； 7。广大市民要养成勤洗手、常通风、戴口罩等良好习惯，咳嗽、打喷嚏时注意遮挡，外出时与他人保持1米以上社交距离，集体就餐时做到使用“公勺公筷公夹”，实行“分餐制”，减少疾病感染风险。 齐齐哈尔市应对新型冠状病毒感染肺炎疫情工作领导小组指挥部 2020年11月27日 来源：齐齐哈尔市疾病预防控制中心 责任编辑：张玉 
山东无新增！正在隔离观察治疗的无症状感染者5例|2020年11月29日 08:06|原标题：山东无新增！正在隔离观察治疗的无症状感染者5例 2020年11月28日0时至24时：山东无新增本地疑似病例、确诊病例。累计报告确诊病例777例，死亡7例，治愈出院770例。 山东无新增境外输入疑似病例、确诊病例。累计报告境外输入确诊病例72例，累计治愈出院71例。 山东无新增无症状感染者。正在隔离观察治疗的无症状感染者5例（境外输入5例）。 今年以来全省共追踪到密切接触者27036人，目前尚有146人正在接受医学隔离观察。（备注：1。山东省本地病例按确诊时医院所在县区统计，境外输入病例单独统计。2。新增确诊病例和无症状感染者具体情况由相关市卫生健康委进行通报。）#美国新冠肺炎超1320万例# via。健康山东 责任编辑：张玉 
北京11月28日无新增报告新冠肺炎确诊病例|2020年11月29日 07:54|原标题：北京11月28日无新增报告新冠肺炎确诊病例 来源：首都健康 11月28日0时至24时，无新增报告本地确诊病例、疑似病例和无症状感染者；无新增报告境外输入确诊病例、疑似病例和无症状感染者。 在工地作业的人员如有发烧或呼吸道症状，特别是近期与呼吸道传染病患者有过密切接触的，应及时就医，不要带病工作。注意手卫生，清洁双手前不要触碰口、眼、鼻。接触公用物品或其他可能被污染的物品，以及饮食前后必须洗手，或用手消毒剂消毒。在工地、职工食堂出入口等人员较为密集区域，与他人保持1米以上的社交距离。工地管理人员应加强工地出入人员登记管理制度，有发热等症状的应拒绝进场，坚持健康监测报告制度，掌握每日到岗人员和轮换班次情况；加强公共用品用具的清洁消毒，对生产劳动工具、设备按键、配套设施等使用后及时清洁消毒；保持作业场所空气流通，对生产环境有特殊要求的应符合其生产条件；提供便利的洗手设施，保证洗手液供应充足。 责任编辑：张玉 
上海新增境外输入确诊病例3例 来自俄罗斯和美国|2020年11月29日 07:48|原标题：上海新增境外输入确诊病例3例，来自俄罗斯和美国 据上海卫健委微信公众号消息，11月28日0—24时，通过口岸联防联控机制，报告3例境外输入性新冠肺炎确诊病例。新增治愈出院9例，其中来自瑞士2例，来自西班牙2例，来自英国2例，来自法国1例，来自哥伦比亚1例，来自塞尔维亚1例。 病例1为中国籍，病例2为俄罗斯籍，分别在俄罗斯工作或生活，乘坐同一航班，11月26日自俄罗斯出发，11月27日抵达上海浦东国际机场，入关后即被集中隔离观察，期间出现症状。综合流行病学史、临床症状、实验室检测和影像学检查结果等，诊断为确诊病例。 病例3为中国籍，在美国探亲，11月16日自美国出发，11月17日抵达上海浦东国际机场，入关后即被集中隔离观察，期间出现症状。综合流行病学史、临床症状、实验室检测和影像学检查结果等，诊断为确诊病例。 3例境外输入性确诊病例已转至定点医疗机构救治，已追踪同航班的密切接触者73人，均已落实集中隔离观察。 11月28日0—24时，无新增本地新冠肺炎确诊病例。 截至11月28日24时，累计报告境外输入性确诊病例976例，出院931例，在院治疗45例，无重症和危重症。现有待排查的疑似病例5例。 截至11月28日24时，累计报告本地确诊病例349例，治愈出院335例，在院治疗7例，死亡7例。现有待排查的疑似病例0例。 截至11月28日24时，尚在医学观察中的无症状感染者0例。 责任编辑：张玉 
满洲里：11月29日12时将结束社区大规模采样工作|2020年11月29日 07:09|原标题：满洲里：今日12时将结束社区大规模采样工作 据@魅力满洲里 微博消息，满洲里市新冠肺炎疫情防控工作指挥部28日发布第27号公告，根据满洲里市第二轮全员新冠肺炎病毒核酸检测进程，市疫情防控工作指挥部定于11月29日12：00时结束社区大规模采样工作，请广大市民务必于截止时间前到达所在辖区指定地点，配合完成核酸采样。对隔离小区、居家隔离和行动不便居民，将继续提供不同方式的上门、入户采样服务，请耐心等侯、积极配合。 责任编辑：张玉 
云南新增1例境外输入确诊病例|2020年11月29日 06:42|原标题：11月28日0时至24时，云南新增1例境外输入确诊病例 11月28日0时至24时，我省无新增本土确诊病例和无症状感染者；新增境外输入确诊病例1例，中国籍、印度尼西亚输入。截至11月28日24时，我省现有确诊病例7例、无症状感染者4例，均在定点医疗机构隔离治疗和医学观察。 新增确诊病例信息： 男，36岁，中国籍，在印度尼西亚工作。11月27日自雅加达乘机由昆明机场入境，入境时体温正常，海关采样后按闭环管理要求由专车直接转送至指定隔离点集中隔离观察。28日，核酸检测结果阳性，即用负压救护车转运至定点医疗机构隔离诊治，专家诊断为新冠肺炎确诊病例（普通型、印度尼西亚输入）。同机其他人员继续按要求集中隔离医学观察。（云南省卫生健康委员会） 责任编辑：郑亚鹏 SN238 
甘肃武威1例境外输入病例转为确诊病例|2020年11月29日 00:26|原标题：甘肃武威1例境外输入病例转为确诊病例 武威发布微信公众号11月29日凌晨消息，武威市新冠肺炎疫情联防联控工作领导小组办公室发布关于1例境外输入病例转为确诊病例的通报：张某，女，25岁，因“咽拭子新冠核酸检测阳性”于2020年11月27日收住入院。入院后初步查体未见明显异常，胸部DR片未见异常。经凉州区和武威市两级医疗救治专家会诊，确定为“无症状感染者”。今日18时，患者出现轻微流涕，胸部CT检查，提示右肺中下叶多发点片、斑片灶，经省级专家组远程会诊，诊断为“新冠肺炎普通型”。目前正在按照规范的诊疗方案进行治疗。 责任编辑：张建利 
